 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2026
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";944;787;6;1737
".. Rondônia";61;40;-;101
".. Acre";59;55;-;114
".. Amazonas";233;204;-;437
".. Roraima";41;49;-;90
".. Pará";429;351;4;784
".. Amapá";46;34;-;80
".. Tocantins";75;54;2;131
"Região Nordeste";2129;1652;26;3807
".. Maranhão";325;247;5;577
".. Piauí";119;84;2;205
".. Ceará";274;201;3;478
".. Rio Grande do Norte";91;88;2;181
".. Paraíba";166;137;1;304
".. Pernambuco";343;240;4;587
".. Alagoas";170;127;-;297
".. Sergipe";113;86;2;201
".. Bahia";528;442;7;977
"Região Sudeste";2242;1806;10;4058
".. Minas Gerais";495;417;2;914
".. Espírito Santo";123;99;-;222
".. Rio de Janeiro";451;351;1;803
".. São Paulo";1173;939;7;2119
"Região Sul";802;679;8;1489
".. Paraná";313;295;3;611
".. Santa Catarina";229;188;3;420
".. Rio Grande do Sul";260;196;2;458
"Região Centro-Oeste";570;492;1;1063
".. Mato Grosso do Sul";101;81;-;182
".. Mato Grosso";192;173;-;365
".. Goiás";209;171;1;381
".. Distrito Federal";68;67;-;135
"Total";6687;5416;51;12154
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
