 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2024
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";347;74;42;101;-;109;-;1;74;499;79;9;6;31;2102;1008;212;383;5077
".. Rondônia";15;10;4;3;-;15;-;-;2;28;8;1;1;4;160;73;4;34;362
".. Acre";20;4;1;12;-;13;-;-;3;43;1;-;-;-;104;58;19;20;298
".. Amazonas";95;10;5;34;-;26;-;-;11;133;22;3;2;5;505;277;54;105;1287
".. Roraima";48;5;3;9;-;8;-;-;1;35;1;-;-;1;90;50;11;38;300
".. Pará";132;36;21;34;-;40;-;1;46;205;38;4;2;17;959;410;114;140;2199
".. Amapá";18;5;5;4;-;3;-;-;4;24;5;1;1;3;109;53;7;22;264
".. Tocantins";19;4;3;5;-;4;-;-;7;31;4;-;-;1;175;87;3;24;367
"Região Nordeste";586;181;87;128;1;246;1;11;145;760;153;12;8;69;5026;2243;230;598;10485
".. Maranhão";127;28;16;20;-;42;-;1;19;93;25;1;-;9;686;287;46;123;1523
".. Piauí";28;10;8;13;-;10;-;1;5;44;8;2;2;4;304;155;14;37;645
".. Ceará";64;30;12;10;-;45;-;-;18;81;19;4;-;10;653;348;13;66;1373
".. Rio Grande do Norte";17;11;5;5;-;7;-;1;6;31;10;-;1;6;297;118;5;26;546
".. Paraíba";38;11;3;10;-;13;-;2;10;76;3;-;-;6;351;135;17;38;713
".. Pernambuco";93;29;12;19;1;41;1;5;27;178;24;-;-;7;766;396;12;124;1735
".. Alagoas";44;15;5;11;-;21;-;1;19;51;9;1;-;6;369;127;12;38;729
".. Sergipe";16;5;1;2;-;8;-;-;3;40;7;1;1;1;214;108;9;20;436
".. Bahia";159;42;25;38;-;59;-;-;38;166;48;3;4;20;1386;569;102;126;2785
"Região Sudeste";586;192;97;109;-;335;1;14;205;952;162;13;11;95;5767;2794;337;858;12528
".. Minas Gerais";138;52;30;26;-;71;-;3;45;216;30;2;1;19;1382;686;102;163;2966
".. Espírito Santo";21;10;5;8;-;14;-;1;6;43;9;4;-;7;311;182;2;75;698
".. Rio de Janeiro";168;38;23;19;-;63;1;3;38;219;28;1;5;17;1146;508;56;231;2564
".. São Paulo";259;92;39;56;-;187;-;7;116;474;95;6;5;52;2928;1418;177;389;6300
"Região Sul";159;78;20;35;2;123;-;1;36;239;54;1;4;12;1901;1111;104;352;4232
".. Paraná";58;34;6;15;1;50;-;-;15;95;19;1;1;7;749;455;37;164;1707
".. Santa Catarina";59;22;7;9;1;36;-;1;8;71;28;-;2;3;536;289;28;70;1170
".. Rio Grande do Sul";42;22;7;11;-;37;-;-;13;73;7;-;1;2;616;367;39;118;1355
"Região Centro-Oeste";198;53;41;37;-;98;-;3;42;261;35;1;4;17;1361;819;77;282;3329
".. Mato Grosso do Sul";38;12;7;6;-;15;-;-;5;39;4;1;2;2;222;168;15;63;599
".. Mato Grosso";68;11;18;17;-;32;-;3;12;76;12;-;-;11;383;220;34;80;977
".. Goiás";76;22;14;12;-;40;-;-;22;105;17;-;2;4;573;315;25;105;1332
".. Distrito Federal";16;8;2;2;-;11;-;-;3;41;2;-;-;-;183;116;3;34;421
"Total";1876;578;287;410;3;911;2;30;502;2711;483;36;33;224;16157;7975;960;2473;35651
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
