 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis
Período:2020
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";9;1099;466;817;430;519;138;1707;5185
".. Rondônia";1;98;33;59;27;25;5;134;382
".. Acre";-;31;24;63;24;33;8;101;284
".. Amazonas";-;258;107;151;115;129;46;452;1258
".. Roraima";-;58;28;32;20;68;13;90;309
".. Pará";7;509;230;415;193;192;57;733;2336
".. Amapá";-;75;22;51;35;26;7;88;304
".. Tocantins";1;70;22;46;16;46;2;109;312
"Região Nordeste";4;2679;1177;2016;634;815;214;3865;11404
".. Maranhão";-;381;190;298;111;154;46;537;1717
".. Piauí";1;157;73;100;66;44;22;262;725
".. Ceará";-;355;176;308;91;126;16;553;1625
".. Rio Grande do Norte";-;160;34;105;20;26;7;203;555
".. Paraíba";-;153;85;169;53;47;15;273;795
".. Pernambuco";1;498;156;223;74;151;30;593;1726
".. Alagoas";-;115;68;162;35;51;16;213;660
".. Sergipe";-;143;62;92;30;36;7;198;568
".. Bahia";2;717;333;559;154;180;55;1033;3033
"Região Sudeste";11;3238;1121;1969;688;890;169;4488;12574
".. Minas Gerais";1;775;235;475;117;173;80;1109;2965
".. Espírito Santo";1;151;65;80;27;60;5;224;613
".. Rio de Janeiro";5;736;287;378;217;268;25;939;2855
".. São Paulo";4;1576;534;1036;327;389;59;2216;6141
"Região Sul";2;1171;296;440;165;316;50;1447;3887
".. Paraná";1;496;123;128;68;137;21;597;1571
".. Santa Catarina";-;273;80;140;36;71;12;417;1029
".. Rio Grande do Sul";1;402;93;172;61;108;17;433;1287
"Região Centro-Oeste";1;717;217;445;179;295;52;1069;2975
".. Mato Grosso do Sul";-;119;23;91;30;74;9;184;530
".. Mato Grosso";1;123;59;144;68;97;19;310;821
".. Goiás";-;295;107;190;67;97;22;424;1202
".. Distrito Federal";-;180;28;20;14;27;2;151;422
"Total";27;8904;3277;5687;2096;2835;623;12576;36025
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
