 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2018
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";404;93;49;128;3;143;1;1;74;461;72;6;3;41;2663;1076;227;325;5770
".. Rondônia";24;7;4;5;-;13;-;-;10;19;3;-;1;6;168;104;9;29;402
".. Acre";25;4;3;25;-;12;1;-;3;26;5;1;-;3;133;56;10;15;322
".. Amazonas";114;30;12;41;-;44;-;-;16;144;19;1;1;10;642;267;79;90;1510
".. Roraima";37;6;1;12;-;9;-;-;4;19;3;-;-;1;103;70;6;49;320
".. Pará";166;33;24;39;2;49;-;1;31;198;33;4;1;15;1273;407;115;102;2493
".. Amapá";19;4;3;4;-;6;-;-;7;26;5;-;-;2;169;67;6;16;334
".. Tocantins";19;9;2;2;1;10;-;-;3;29;4;-;-;4;175;105;2;24;389
"Região Nordeste";615;212;122;193;-;336;2;4;180;764;166;18;6;68;6836;2641;344;613;13120
".. Maranhão";123;37;17;47;-;46;1;1;48;131;27;2;1;15;991;310;78;103;1978
".. Piauí";45;17;7;10;-;30;-;-;6;46;13;2;1;7;468;157;14;32;855
".. Ceará";68;34;9;22;-;55;1;1;27;117;21;3;-;11;963;411;34;78;1855
".. Rio Grande do Norte";35;13;7;8;-;13;-;-;12;28;8;-;-;4;359;129;12;34;662
".. Paraíba";33;15;9;11;-;26;-;-;13;56;12;3;-;3;413;160;26;39;819
".. Pernambuco";108;33;14;30;-;44;-;1;18;116;18;3;2;7;959;478;29;147;2007
".. Alagoas";40;16;14;10;-;23;-;-;11;54;10;1;-;4;385;163;12;29;772
".. Sergipe";11;9;3;4;-;12;-;-;6;35;6;1;-;2;388;134;12;24;647
".. Bahia";152;38;42;51;-;87;-;1;39;181;51;3;2;15;1910;699;127;127;3525
"Região Sudeste";580;243;94;130;-;425;1;6;223;949;146;12;8;68;7397;3370;430;772;14854
".. Minas Gerais";117;59;23;36;-;84;-;2;35;152;24;2;3;12;1746;788;129;154;3366
".. Espírito Santo";19;16;5;5;-;24;-;-;11;41;12;5;-;5;348;176;3;33;703
".. Rio de Janeiro";198;47;19;39;-;100;1;4;40;285;22;4;3;15;1530;624;83;232;3246
".. São Paulo";246;121;47;50;-;217;-;-;137;471;88;1;2;36;3773;1782;215;353;7539
"Região Sul";124;76;20;47;2;125;-;1;51;199;43;1;-;24;2266;1186;116;292;4573
".. Paraná";48;32;11;24;-;59;-;-;17;84;18;-;-;10;939;482;46;140;1910
".. Santa Catarina";34;20;3;9;1;23;-;1;20;54;10;1;-;5;543;276;29;44;1073
".. Rio Grande do Sul";42;24;6;14;1;43;-;-;14;61;15;-;-;9;784;428;41;108;1590
"Região Centro-Oeste";156;60;32;53;-;91;-;-;36;199;29;3;1;28;1581;843;84;220;3416
".. Mato Grosso do Sul";24;8;5;12;-;21;-;-;9;40;8;-;-;4;235;163;14;57;600
".. Mato Grosso";51;16;14;14;-;22;-;-;7;57;10;-;1;9;374;198;34;53;860
".. Goiás";59;28;8;22;-;35;-;-;19;85;8;3;-;13;723;323;29;91;1446
".. Distrito Federal";22;8;5;5;-;13;-;-;1;17;3;-;-;2;249;159;7;19;510
"Total";1879;684;317;551;5;1120;4;12;564;2572;456;40;18;229;20743;9116;1201;2222;41733
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
