 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2016
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";414;100;56;148;-;111;1;1;93;483;80;13;4;34;2674;989;253;298;5752
".. Rondônia";25;6;3;10;-;8;1;1;4;22;3;1;-;13;176;116;12;18;419
".. Acre";20;6;2;24;-;8;-;-;3;32;5;-;-;2;105;64;9;18;298
".. Amazonas";141;29;13;43;-;28;-;-;23;133;28;4;1;5;620;256;77;77;1478
".. Roraima";17;2;-;16;-;9;-;-;9;36;3;1;-;-;87;38;14;33;265
".. Pará";182;43;30;37;-;41;-;-;48;215;36;4;3;12;1337;370;126;108;2592
".. Amapá";10;8;6;10;-;7;-;-;3;26;3;3;-;1;177;54;9;17;334
".. Tocantins";19;6;2;8;-;10;-;-;3;19;2;-;-;1;172;91;6;27;366
"Região Nordeste";785;214;111;209;-;340;1;6;186;734;162;20;6;77;6914;2578;409;621;13373
".. Maranhão";147;30;26;64;-;45;-;-;31;122;31;4;1;15;967;318;50;89;1940
".. Piauí";52;13;4;14;-;16;-;-;17;37;6;-;-;3;467;185;24;38;876
".. Ceará";71;31;15;23;-;74;1;2;31;98;19;2;-;15;961;416;31;82;1872
".. Rio Grande do Norte";43;16;6;16;-;8;-;-;7;32;9;1;2;12;344;136;24;32;688
".. Paraíba";41;17;5;5;-;33;-;-;24;47;8;-;-;4;411;172;36;32;835
".. Pernambuco";144;34;17;24;-;48;-;2;12;126;16;7;1;12;1012;488;48;133;2124
".. Alagoas";54;9;7;9;-;20;-;-;13;79;8;2;-;1;414;138;19;46;819
".. Sergipe";32;9;2;7;-;14;-;-;2;24;9;1;-;1;312;117;11;27;568
".. Bahia";201;55;29;47;-;82;-;2;49;169;56;3;2;14;2026;608;166;142;3651
"Região Sudeste";630;244;109;156;-;404;-;6;235;1045;159;17;8;80;7445;3445;445;885;15313
".. Minas Gerais";140;53;22;46;-;84;-;-;51;166;42;6;1;17;1704;774;135;178;3419
".. Espírito Santo";29;21;6;2;-;15;-;-;4;45;6;1;1;4;361;197;8;57;757
".. Rio de Janeiro";190;53;25;32;-;94;-;3;50;333;28;6;2;20;1559;722;67;272;3456
".. São Paulo";271;117;56;76;-;211;-;3;130;501;83;4;4;39;3821;1752;235;378;7681
"Região Sul";142;83;22;53;-;119;-;-;53;238;18;3;2;15;2245;1145;119;325;4582
".. Paraná";58;36;10;28;-;57;-;-;19;92;11;3;-;7;939;484;36;150;1930
".. Santa Catarina";25;18;4;14;-;14;-;-;18;53;3;-;2;5;490;249;35;56;986
".. Rio Grande do Sul";59;29;8;11;-;48;-;-;16;93;4;-;-;3;816;412;48;119;1666
"Região Centro-Oeste";197;64;23;51;1;98;-;1;53;189;44;5;-;15;1678;789;93;241;3542
".. Mato Grosso do Sul";50;19;4;10;-;19;-;1;13;45;16;-;-;3;263;147;26;60;676
".. Mato Grosso";71;16;8;20;-;31;-;-;11;70;6;1;-;9;392;187;37;60;919
".. Goiás";60;18;9;15;1;38;-;-;20;55;16;3;-;-;727;352;28;91;1433
".. Distrito Federal";16;11;2;6;-;10;-;-;9;19;6;1;-;3;296;103;2;30;514
"Total";2168;705;321;617;1;1072;2;14;620;2689;463;58;20;221;20956;8946;1319;2370;42562
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
