 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2017
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";402;86;56;126;-;104;2;2;61;459;63;12;6;18;2705;1045;207;375;5729
".. Rondônia";26;2;5;4;-;11;2;-;3;36;6;1;-;4;161;102;19;23;405
".. Acre";24;14;1;19;-;5;-;-;2;26;4;1;-;-;122;38;1;15;272
".. Amazonas";139;21;15;44;-;25;-;1;5;132;13;3;3;8;659;271;91;109;1539
".. Roraima";22;3;2;7;-;4;-;-;6;25;3;1;-;-;83;50;9;36;251
".. Pará";150;32;30;35;-;47;-;-;37;180;31;4;3;5;1334;426;71;140;2525
".. Amapá";15;4;2;8;-;7;-;1;4;38;4;-;-;1;180;63;10;30;367
".. Tocantins";26;10;1;9;-;5;-;-;4;22;2;2;-;-;166;95;6;22;370
"Região Nordeste";643;217;155;205;3;347;-;9;173;663;142;14;5;71;7131;2585;356;578;13297
".. Maranhão";141;33;38;41;1;52;-;1;27;117;17;2;-;5;1133;333;69;85;2095
".. Piauí";49;17;13;13;-;24;-;-;15;61;11;3;-;8;428;174;23;26;865
".. Ceará";90;33;19;34;1;84;-;1;33;108;17;3;-;8;1004;413;36;71;1955
".. Rio Grande do Norte";31;15;8;8;-;8;-;-;9;28;5;-;-;11;347;163;9;30;672
".. Paraíba";26;15;7;19;1;18;-;1;15;49;17;-;1;4;469;178;19;34;873
".. Pernambuco";111;34;14;25;-;42;-;-;14;92;20;2;3;7;949;486;23;116;1938
".. Alagoas";47;14;15;13;-;26;-;1;17;45;7;-;1;5;397;157;15;43;803
".. Sergipe";23;9;6;4;-;11;-;2;8;19;9;-;-;4;357;100;12;19;583
".. Bahia";125;47;35;48;-;82;-;3;35;144;39;4;-;19;2047;581;150;154;3513
"Região Sudeste";611;232;113;147;-;385;2;7;222;867;146;13;6;80;7582;3395;475;805;15088
".. Minas Gerais";135;48;19;34;-;80;1;2;49;142;33;1;2;13;1770;817;174;167;3487
".. Espírito Santo";23;13;4;4;-;15;-;2;6;47;7;-;-;4;349;185;7;40;706
".. Rio de Janeiro";190;58;23;37;-;84;1;3;53;199;36;6;2;14;1552;662;82;228;3230
".. São Paulo";263;113;67;72;-;206;-;-;114;479;70;6;2;49;3911;1731;212;370;7665
"Região Sul";131;82;17;43;-;111;-;1;57;181;32;1;5;12;2382;1176;113;323;4667
".. Paraná";40;32;5;21;-;48;-;-;16;64;10;-;2;6;980;473;34;128;1859
".. Santa Catarina";30;23;4;7;-;31;-;-;16;41;6;1;2;3;575;289;28;64;1120
".. Rio Grande do Sul";61;27;8;15;-;32;-;1;25;76;16;-;1;3;827;414;51;131;1688
"Região Centro-Oeste";157;66;23;50;-;75;-;1;48;179;31;2;1;18;1589;812;80;228;3360
".. Mato Grosso do Sul";27;10;1;9;-;17;-;-;11;29;3;2;-;1;261;137;13;45;566
".. Mato Grosso";68;16;5;18;-;18;-;-;10;50;6;-;-;6;400;199;22;67;885
".. Goiás";44;33;14;15;-;27;-;1;19;80;18;-;-;9;658;302;34;84;1338
".. Distrito Federal";18;7;3;8;-;13;-;-;8;20;4;-;1;2;270;174;11;32;571
"Total";1944;683;364;571;3;1022;4;20;561;2349;414;42;23;199;21389;9013;1231;2309;42141
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
