 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2022
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4536;88;409;59;259;3;5354
".. Rondônia";367;4;15;8;9;-;403
".. Acre";252;3;31;3;10;-;299
".. Amazonas";1151;11;146;9;94;-;1411
".. Roraima";223;5;42;3;48;1;322
".. Pará";1978;49;141;27;77;1;2273
".. Amapá";263;12;10;2;9;1;297
".. Tocantins";302;4;24;7;12;-;349
"Região Nordeste";10605;315;556;138;217;4;11835
".. Maranhão";1532;23;122;49;53;-;1779
".. Piauí";716;5;48;6;10;-;785
".. Ceará";1440;26;59;15;17;-;1557
".. Rio Grande do Norte";493;22;24;8;11;1;559
".. Paraíba";803;19;34;5;33;-;894
".. Pernambuco";1648;83;90;15;16;1;1853
".. Alagoas";631;32;24;6;25;-;718
".. Sergipe";558;3;17;2;1;-;581
".. Bahia";2784;102;138;32;51;2;3109
"Região Sudeste";12351;598;426;55;119;3;13552
".. Minas Gerais";2919;103;126;20;19;2;3189
".. Espírito Santo";626;34;22;6;10;1;699
".. Rio de Janeiro";2554;186;62;8;23;-;2833
".. São Paulo";6252;275;216;21;67;-;6831
"Região Sul";3901;132;201;45;79;1;4359
".. Paraná";1542;75;89;18;27;-;1751
".. Santa Catarina";1009;21;63;9;31;-;1133
".. Rio Grande do Sul";1350;36;49;18;21;1;1475
"Região Centro-Oeste";3022;118;188;47;64;1;3440
".. Mato Grosso do Sul";513;14;53;9;22;1;612
".. Mato Grosso";881;50;46;23;17;-;1017
".. Goiás";1221;48;68;13;23;-;1373
".. Distrito Federal";407;6;21;2;2;-;438
"Total";34415;1251;1780;344;738;12;38540
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
