 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis
Período:2016
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";5;1122;496;929;624;615;158;1803;5752
".. Rondônia";-;74;24;68;31;34;4;184;419
".. Acre";-;35;12;53;36;37;6;119;298
".. Amazonas";2;290;108;180;178;199;60;461;1478
".. Roraima";-;47;7;25;42;61;5;78;265
".. Pará";3;514;287;478;282;211;78;739;2592
".. Amapá";-;58;30;86;28;29;4;99;334
".. Tocantins";-;104;28;39;27;44;1;123;366
"Região Nordeste";11;2877;1345;2407;1071;1118;311;4233;13373
".. Maranhão";2;368;226;310;194;205;72;563;1940
".. Piauí";-;257;95;99;60;68;25;272;876
".. Ceará";2;371;172;375;127;136;25;664;1872
".. Rio Grande do Norte";-;152;55;121;56;54;10;240;688
".. Paraíba";1;147;82;166;74;51;21;293;835
".. Pernambuco";3;530;175;299;182;219;27;689;2124
".. Alagoas";2;138;82;193;88;82;7;227;819
".. Sergipe";1;134;64;104;37;41;7;180;568
".. Bahia";-;780;394;740;253;262;117;1105;3651
"Região Sudeste";10;3538;1168;2390;1354;1134;293;5426;15313
".. Minas Gerais";4;763;215;584;242;255;106;1250;3419
".. Espírito Santo";1;182;67;104;58;69;4;272;757
".. Rio de Janeiro";1;829;264;448;420;324;38;1132;3456
".. São Paulo";4;1764;622;1254;634;486;145;2772;7681
"Região Sul";3;1275;347;514;339;397;49;1658;4582
".. Paraná";1;577;144;178;128;188;20;694;1930
".. Santa Catarina";1;243;72;136;75;75;11;373;986
".. Rio Grande do Sul";1;455;131;200;136;134;18;591;1666
"Região Centro-Oeste";1;871;257;481;257;360;45;1270;3542
".. Mato Grosso do Sul";-;107;51;93;52;94;7;272;676
".. Mato Grosso";-;179;57;140;109;105;11;318;919
".. Goiás";1;367;120;201;68;128;23;525;1433
".. Distrito Federal";-;218;29;47;28;33;4;155;514
"Total";30;9683;3613;6721;3645;3624;856;14390;42562
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
