 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2024
"Região/Unidade da Federação";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"Total"
"Região Norte";2085;578;1505;909;5077
".. Rondônia";132;61;102;67;362
".. Acre";106;29;101;62;298
".. Amazonas";567;139;359;222;1287
".. Roraima";109;31;91;69;300
".. Pará";902;247;661;389;2199
".. Amapá";108;24;88;44;264
".. Tocantins";161;47;103;56;367
"Região Nordeste";4638;1501;2894;1452;10485
".. Maranhão";645;217;429;232;1523
".. Piauí";264;85;217;79;645
".. Ceará";611;187;382;193;1373
".. Rio Grande do Norte";275;85;109;77;546
".. Paraíba";302;105;201;105;713
".. Pernambuco";761;237;495;242;1735
".. Alagoas";313;100;220;96;729
".. Sergipe";195;64;126;51;436
".. Bahia";1272;421;715;377;2785
"Região Sudeste";5141;1970;3483;1934;12528
".. Minas Gerais";1231;483;772;480;2966
".. Espírito Santo";290;114;206;88;698
".. Rio de Janeiro";1023;405;759;377;2564
".. São Paulo";2597;968;1746;989;6300
"Região Sul";1782;668;1057;725;4232
".. Paraná";716;244;438;309;1707
".. Santa Catarina";510;169;293;198;1170
".. Rio Grande do Sul";556;255;326;218;1355
"Região Centro-Oeste";1287;463;968;611;3329
".. Mato Grosso do Sul";221;80;187;111;599
".. Mato Grosso";357;131;297;192;977
".. Goiás";537;196;363;236;1332
".. Distrito Federal";172;56;121;72;421
"Total";14933;5180;9907;5631;35651
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
