 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis
Período:2023
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";9;1018;396;769;733;654;135;1830;5544
".. Rondônia";-;82;9;54;44;30;6;130;355
".. Acre";2;57;19;44;31;45;8;93;299
".. Amazonas";2;254;100;144;254;167;68;505;1494
".. Roraima";-;57;30;36;73;101;5;135;437
".. Pará";5;421;198;408;256;240;46;715;2289
".. Amapá";-;65;19;35;54;34;1;128;336
".. Tocantins";-;82;21;48;21;37;1;124;334
"Região Nordeste";4;2610;933;1681;1255;886;156;3873;11398
".. Maranhão";-;372;132;227;201;154;28;610;1724
".. Piauí";-;187;54;90;63;36;8;281;719
".. Ceará";-;350;116;263;153;105;14;503;1504
".. Rio Grande do Norte";-;127;44;73;38;31;-;205;518
".. Paraíba";1;160;61;136;98;60;21;251;788
".. Pernambuco";1;426;128;191;240;214;16;620;1836
".. Alagoas";1;147;74;141;92;60;5;218;738
".. Sergipe";-;148;50;97;92;34;6;194;621
".. Bahia";1;693;274;463;278;192;58;991;2950
"Região Sudeste";10;3190;1028;1899;1309;1135;158;4644;13373
".. Minas Gerais";1;691;243;464;273;243;86;1147;3148
".. Espírito Santo";-;155;46;98;64;94;1;266;724
".. Rio de Janeiro";2;651;235;371;356;311;16;874;2816
".. São Paulo";7;1693;504;966;616;487;55;2357;6685
"Região Sul";6;1140;270;447;324;392;52;1543;4174
".. Paraná";2;532;115;136;132;170;26;642;1755
".. Santa Catarina";1;239;63;146;92;98;13;381;1033
".. Rio Grande do Sul";3;369;92;165;100;124;13;520;1386
"Região Centro-Oeste";3;817;228;419;341;354;43;1258;3463
".. Mato Grosso do Sul";-;121;32;94;70;74;9;254;654
".. Mato Grosso";1;196;66;149;108;132;15;347;1014
".. Goiás";2;341;93;154;124;115;17;496;1342
".. Distrito Federal";-;159;37;22;39;33;2;161;453
"Total";32;8775;2855;5215;3962;3421;544;13148;37952
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
