 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2016
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4888;80;459;90;228;7;5752
".. Rondônia";389;1;15;6;8;-;419
".. Acre";255;1;28;1;13;-;298
".. Amazonas";1194;11;178;12;83;-;1478
".. Roraima";176;11;41;4;28;5;265
".. Pará";2251;48;163;47;81;2;2592
".. Amapá";310;2;12;3;7;-;334
".. Tocantins";313;6;22;17;8;-;366
"Região Nordeste";12057;180;701;212;217;6;13373
".. Maranhão";1688;23;130;56;40;3;1940
".. Piauí";772;5;63;23;13;-;876
".. Ceará";1717;20;78;26;30;1;1872
".. Rio Grande do Norte";629;13;32;7;7;-;688
".. Paraíba";764;5;36;11;19;-;835
".. Pernambuco";1942;28;112;28;14;-;2124
".. Alagoas";733;8;51;12;15;-;819
".. Sergipe";527;2;24;7;8;-;568
".. Bahia";3285;76;175;42;71;2;3651
"Região Sudeste";14085;501;519;88;110;10;15313
".. Minas Gerais";3098;104;138;46;29;4;3419
".. Espírito Santo";690;19;36;3;6;3;757
".. Rio de Janeiro";3145;197;85;7;21;1;3456
".. São Paulo";7152;181;260;32;54;2;7681
"Região Sul";4106;89;269;59;59;-;4582
".. Paraná";1707;51;119;29;24;-;1930
".. Santa Catarina";893;10;55;10;18;-;986
".. Rio Grande do Sul";1506;28;95;20;17;-;1666
"Região Centro-Oeste";3158;60;212;60;52;-;3542
".. Mato Grosso do Sul";550;10;81;17;18;-;676
".. Mato Grosso";820;17;48;19;15;-;919
".. Goiás";1304;26;67;21;15;-;1433
".. Distrito Federal";484;7;16;3;4;-;514
"Total";38294;910;2160;509;666;23;42562
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
