 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis
Período:2017
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";8;1151;518;901;612;666;145;1728;5729
".. Rondônia";-;61;23;67;46;46;8;154;405
".. Acre";-;41;23;51;27;36;4;90;272
".. Amazonas";3;285;132;195;195;224;64;441;1539
".. Roraima";-;34;11;23;28;57;2;96;251
".. Pará";5;539;274;466;241;225;60;715;2525
".. Amapá";-;77;28;71;49;37;6;99;367
".. Tocantins";-;114;27;28;26;41;1;133;370
"Região Nordeste";10;3086;1323;2432;955;1067;251;4173;13297
".. Maranhão";4;470;241;380;170;205;41;584;2095
".. Piauí";-;220;93;93;81;58;16;304;865
".. Ceará";2;417;187;364;140;153;29;663;1955
".. Rio Grande do Norte";-;154;52;137;44;50;2;233;672
".. Paraíba";-;190;94;172;67;56;10;284;873
".. Pernambuco";2;530;161;237;137;202;20;649;1938
".. Alagoas";1;150;57;187;70;79;8;251;803
".. Sergipe";-;173;54;121;35;30;9;161;583
".. Bahia";1;782;384;741;211;234;116;1044;3513
"Região Sudeste";20;3589;1278;2357;1277;1006;254;5307;15088
".. Minas Gerais";4;839;258;555;219;229;91;1292;3487
".. Espírito Santo";-;158;83;98;65;52;6;244;706
".. Rio de Janeiro";5;800;288;445;310;262;26;1094;3230
".. São Paulo";11;1792;649;1259;683;463;131;2677;7665
"Região Sul";5;1378;384;524;270;384;53;1669;4667
".. Paraná";2;651;137;165;95;147;16;646;1859
".. Santa Catarina";-;269;106;161;56;82;15;431;1120
".. Rio Grande do Sul";3;458;141;198;119;155;22;592;1688
"Região Centro-Oeste";2;826;242;440;232;330;61;1227;3360
".. Mato Grosso do Sul";1;102;64;69;45;70;8;207;566
".. Mato Grosso";-;214;44;125;75;110;15;302;885
".. Goiás";1;325;100;201;87;110;29;485;1338
".. Distrito Federal";-;185;34;45;25;40;9;233;571
"Total";45;10030;3745;6654;3346;3453;764;14104;42141
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
