 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2026
"Região/Unidade da Federação";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"Total"
"Região Norte";693;231;532;281;1737
".. Rondônia";33;24;35;9;101
".. Acre";42;9;47;16;114
".. Amazonas";183;47;131;76;437
".. Roraima";31;8;36;15;90
".. Pará";326;107;222;129;784
".. Amapá";27;11;29;13;80
".. Tocantins";51;25;32;23;131
"Região Nordeste";1735;622;981;469;3807
".. Maranhão";259;74;161;83;577
".. Piauí";85;30;69;21;205
".. Ceará";210;66;118;84;478
".. Rio Grande do Norte";87;36;42;16;181
".. Paraíba";126;62;84;32;304
".. Pernambuco";243;91;172;81;587
".. Alagoas";139;47;76;35;297
".. Sergipe";95;34;49;23;201
".. Bahia";491;182;210;94;977
"Região Sudeste";1807;719;1002;530;4058
".. Minas Gerais";450;147;198;119;914
".. Espírito Santo";98;34;62;28;222
".. Rio de Janeiro";315;152;218;118;803
".. São Paulo";944;386;524;265;2119
"Região Sul";702;260;355;172;1489
".. Paraná";285;117;136;73;611
".. Santa Catarina";185;62;129;44;420
".. Rio Grande do Sul";232;81;90;55;458
"Região Centro-Oeste";428;149;325;161;1063
".. Mato Grosso do Sul";67;21;66;28;182
".. Mato Grosso";134;50;124;57;365
".. Goiás";164;61;94;62;381
".. Distrito Federal";63;17;41;14;135
"Total";5365;1981;3195;1613;12154
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
