 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causa mal definidas
Período:2023
"Região/Unidade da Federação";"Sint sinais e achad anorm,exc morte súbita infânci";"Doenças do aparelho circulatório, mal definidas";"Doenças do aparelho respiratório, mal definidas";"Afecções originad período perinatal, mal definidas";"Total"
"Região Norte";112;4;7;41;164
".. Rondônia";7;-;-;1;8
".. Acre";9;-;-;-;9
".. Amazonas";44;-;1;12;57
".. Roraima";4;-;2;-;6
".. Pará";43;4;4;26;77
".. Amapá";5;-;-;1;6
".. Tocantins";-;-;-;1;1
"Região Nordeste";152;2;19;73;246
".. Maranhão";24;2;10;19;55
".. Piauí";16;-;1;4;21
".. Ceará";13;-;1;2;16
".. Rio Grande do Norte";1;-;-;1;2
".. Paraíba";10;-;-;5;15
".. Pernambuco";15;-;1;2;18
".. Alagoas";9;-;1;1;11
".. Sergipe";10;-;-;-;10
".. Bahia";54;-;5;39;98
"Região Sudeste";216;1;10;42;269
".. Minas Gerais";77;-;2;31;110
".. Espírito Santo";1;-;-;-;1
".. Rio de Janeiro";21;-;3;-;24
".. São Paulo";117;1;5;11;134
"Região Sul";56;2;3;10;71
".. Paraná";20;2;1;3;26
".. Santa Catarina";10;-;2;5;17
".. Rio Grande do Sul";26;-;-;2;28
"Região Centro-Oeste";45;-;4;12;61
".. Mato Grosso do Sul";10;-;-;1;11
".. Mato Grosso";19;-;2;9;30
".. Goiás";12;-;2;2;16
".. Distrito Federal";4;-;-;-;4
"Total";581;9;43;178;811
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
