 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causa mal definidas
Período:2026
"Região/Unidade da Federação";"Sint sinais e achad anorm,exc morte súbita infânci";"Doenças do aparelho circulatório, mal definidas";"Doenças do aparelho respiratório, mal definidas";"Afecções originad período perinatal, mal definidas";"Total"
"Região Norte";45;-;3;11;59
".. Rondônia";1;-;-;1;2
".. Acre";5;-;-;-;5
".. Amazonas";12;-;-;5;17
".. Roraima";1;-;1;-;2
".. Pará";21;-;-;5;26
".. Amapá";2;-;1;-;3
".. Tocantins";3;-;1;-;4
"Região Nordeste";52;2;5;17;76
".. Maranhão";9;-;1;4;14
".. Piauí";3;1;-;2;6
".. Ceará";3;-;1;-;4
".. Rio Grande do Norte";2;-;1;1;4
".. Paraíba";7;-;-;1;8
".. Pernambuco";1;-;1;-;2
".. Alagoas";6;1;-;-;7
".. Sergipe";2;-;-;1;3
".. Bahia";19;-;1;8;28
"Região Sudeste";84;-;6;5;95
".. Minas Gerais";17;-;4;2;23
".. Rio de Janeiro";16;-;1;-;17
".. São Paulo";51;-;1;3;55
"Região Sul";29;-;-;3;32
".. Paraná";11;-;-;1;12
".. Santa Catarina";9;-;-;2;11
".. Rio Grande do Sul";9;-;-;-;9
"Região Centro-Oeste";58;1;1;-;60
".. Mato Grosso do Sul";4;-;-;-;4
".. Mato Grosso";23;-;1;-;24
".. Goiás";19;1;-;-;20
".. Distrito Federal";12;-;-;-;12
"Total";268;3;15;36;322
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
