 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2022
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";2398;1949;21;4368
".. Rondônia";196;137;1;334
".. Acre";133;115;1;249
".. Amazonas";633;503;2;1138
".. Roraima";135;111;-;246
".. Pará";1017;847;13;1877
".. Amapá";126;118;2;246
".. Tocantins";158;118;2;278
"Região Nordeste";5509;4388;95;9992
".. Maranhão";829;666;6;1501
".. Piauí";375;282;9;666
".. Ceará";715;584;18;1317
".. Rio Grande do Norte";254;184;5;443
".. Paraíba";413;333;3;749
".. Pernambuco";842;704;12;1558
".. Alagoas";330;253;4;587
".. Sergipe";285;207;11;503
".. Bahia";1466;1175;27;2668
"Região Sudeste";6275;5086;38;11399
".. Minas Gerais";1466;1199;7;2672
".. Espírito Santo";298;256;4;558
".. Rio de Janeiro";1275;1094;5;2374
".. São Paulo";3236;2537;22;5795
"Região Sul";2006;1669;6;3681
".. Paraná";807;643;1;1451
".. Santa Catarina";523;435;3;961
".. Rio Grande do Sul";676;591;2;1269
"Região Centro-Oeste";1544;1264;9;2817
".. Mato Grosso do Sul";283;217;-;500
".. Mato Grosso";435;379;5;819
".. Goiás";643;491;2;1136
".. Distrito Federal";183;177;2;362
"Total";17732;14356;169;32257
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
