 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causa mal definidas
Período:2018
"Região/Unidade da Federação";"Sint sinais e achad anorm,exc morte súbita infânci";"Doenças do aparelho circulatório, mal definidas";"Doenças do aparelho respiratório, mal definidas";"Afecções originad período perinatal, mal definidas";"Total"
"Região Norte";143;1;10;77;231
".. Rondônia";4;-;-;3;7
".. Acre";6;-;2;8;16
".. Amazonas";53;-;1;9;63
".. Roraima";3;-;-;5;8
".. Pará";75;1;5;50;131
".. Amapá";2;-;-;1;3
".. Tocantins";-;-;2;1;3
"Região Nordeste";197;-;22;162;381
".. Maranhão";45;-;4;26;75
".. Piauí";8;-;3;10;21
".. Ceará";19;-;2;11;32
".. Rio Grande do Norte";4;-;-;3;7
".. Paraíba";17;-;2;3;22
".. Pernambuco";16;-;3;6;25
".. Alagoas";8;-;1;2;11
".. Sergipe";7;-;-;1;8
".. Bahia";73;-;7;100;180
"Região Sudeste";253;-;8;74;335
".. Minas Gerais";70;-;6;35;111
".. Espírito Santo";2;-;-;-;2
".. Rio de Janeiro";57;-;2;9;68
".. São Paulo";124;-;-;30;154
"Região Sul";70;-;7;15;92
".. Paraná";35;-;4;6;45
".. Santa Catarina";13;-;3;7;23
".. Rio Grande do Sul";22;-;-;2;24
"Região Centro-Oeste";61;-;7;12;80
".. Mato Grosso do Sul";10;-;2;5;17
".. Mato Grosso";27;-;2;6;35
".. Goiás";17;-;2;1;20
".. Distrito Federal";7;-;1;-;8
"Total";724;1;54;340;1119
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
