 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2025
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";3724;67;233;38;134;3;4199
".. Rondônia";280;3;6;3;3;-;295
".. Acre";213;1;14;4;13;-;245
".. Amazonas";980;6;89;8;47;-;1130
".. Roraima";187;13;35;1;25;3;264
".. Pará";1623;33;70;18;37;-;1781
".. Amapá";196;10;8;1;3;-;218
".. Tocantins";245;1;11;3;6;-;266
"Região Nordeste";8299;174;276;54;119;8;8930
".. Maranhão";1151;13;57;15;37;3;1276
".. Piauí";511;1;32;4;13;1;562
".. Ceará";1144;13;30;8;8;-;1203
".. Rio Grande do Norte";431;10;7;4;3;-;455
".. Paraíba";606;5;11;-;5;-;627
".. Pernambuco";1338;48;44;6;15;-;1451
".. Alagoas";522;19;21;-;11;-;573
".. Sergipe";428;3;8;1;2;-;442
".. Bahia";2168;62;66;16;25;4;2341
"Região Sudeste";9811;385;224;25;66;4;10515
".. Minas Gerais";2352;65;73;12;16;3;2521
".. Espírito Santo";560;22;19;3;10;-;614
".. Rio de Janeiro";2021;130;17;1;13;1;2183
".. São Paulo";4878;168;115;9;27;-;5197
"Região Sul";3326;61;89;15;40;2;3533
".. Paraná";1367;41;35;8;14;-;1465
".. Santa Catarina";876;6;25;4;18;-;929
".. Rio Grande do Sul";1083;14;29;3;8;2;1139
"Região Centro-Oeste";2498;70;114;20;24;1;2727
".. Mato Grosso do Sul";466;13;34;5;7;-;525
".. Mato Grosso";739;15;46;8;8;1;817
".. Goiás";987;28;25;6;6;-;1052
".. Distrito Federal";306;14;9;1;3;-;333
"Total";27658;757;936;152;383;18;29904
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
