 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Faixa Etária
Período:2024
"País de residência";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"208  ARUBA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"25   POLONIA";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"119  MACEDONIA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"40   VIETNA";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"45   ESTADOS UNIDOS";-;-;1;-;-;1;-;3;3;3;2;1;-;14
"38   REINO UNIDO";-;-;-;-;-;-;1;-;1;-;-;-;-;2
"68   BOLIVIA";13;2;1;2;10;10;12;19;20;18;17;3;3;130
"71   EQUADOR";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"81   QUIRGUISTAO";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"84   SURINAME";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"113  GUINE EQUATORIAL";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"2    GABAO";-;-;-;-;-;-;-;-;-;-;-;3;-;3
"3    GEORGIA";-;-;-;-;-;-;1;-;1;1;-;2;-;5
"4    IEMEM";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"5    LIBIA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"7    PERU";1;-;-;-;-;2;-;1;1;1;2;2;-;10
"9    SUICA";1;-;-;-;-;-;1;-;-;1;-;-;-;3
"11   SOMALIA";-;-;-;-;1;-;-;-;-;-;1;-;-;2
"16   IRAQUE";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"19   ITALIA";-;-;-;-;-;-;-;-;-;-;2;-;-;2
"21   MEXICO";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"22   MOCAMBIQUE";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"24   NORUEGA";-;-;-;-;-;1;-;1;-;-;-;-;-;2
"32   ARGENTINA";1;-;1;-;-;10;8;4;3;7;4;7;1;46
"33   BRUNEI";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"37   PAISES BAIXOS";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"41   ALEMANHA";-;-;-;-;-;-;-;2;1;2;1;-;-;6
"43   BELGICA";-;-;-;-;-;-;-;-;-;2;-;-;-;2
"44   ESPANHA";-;-;-;-;-;2;-;-;-;-;2;1;1;6
"46   FRANCA";-;-;-;-;-;-;1;-;1;1;1;-;-;4
"54   ISRAEL";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"55   JAPAO";-;-;-;-;-;-;-;-;2;1;4;1;-;8
"59   ANTILHAS HOLANDESAS";-;-;-;-;-;-;-;-;1;-;-;-;-;1
