 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis - 0 a 4 anos
Período:2025
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";5;1075;383;704;369;338;56;1269;4199
".. Rondônia";-;88;15;69;15;16;1;91;295
".. Acre";-;60;26;36;28;34;2;59;245
".. Amazonas";2;275;97;152;101;110;31;362;1130
".. Roraima";3;43;18;34;36;56;1;73;264
".. Pará";-;453;193;350;144;102;20;519;1781
".. Amapá";-;68;18;33;32;7;1;59;218
".. Tocantins";-;88;16;30;13;13;-;106;266
"Região Nordeste";2;2471;790;1437;753;451;126;2900;8930
".. Maranhão";-;368;114;163;122;75;18;416;1276
".. Piauí";-;179;51;62;33;37;10;190;562
".. Ceará";-;315;106;213;101;68;15;385;1203
".. Rio Grande do Norte";-;136;40;93;18;14;3;151;455
".. Paraíba";-;168;40;124;58;15;10;212;627
".. Pernambuco";1;387;126;159;154;110;13;501;1451
".. Alagoas";-;128;45;148;39;27;8;178;573
".. Sergipe";1;130;39;67;45;15;5;140;442
".. Bahia";-;660;229;408;183;90;44;727;2341
"Região Sudeste";6;2972;946;1582;743;596;137;3533;10515
".. Minas Gerais";1;684;207;439;147;102;58;883;2521
".. Espírito Santo";1;158;46;78;31;61;1;238;614
".. Rio de Janeiro";2;640;239;297;166;170;20;649;2183
".. São Paulo";2;1490;454;768;399;263;58;1763;5197
"Região Sul";2;1208;280;413;204;201;24;1201;3533
".. Paraná";-;583;109;131;76;87;9;470;1465
".. Santa Catarina";1;273;73;123;74;50;4;331;929
".. Rio Grande do Sul";1;352;98;159;54;64;11;400;1139
"Região Centro-Oeste";3;739;180;388;190;196;43;988;2727
".. Mato Grosso do Sul";1;113;31;90;49;39;10;192;525
".. Mato Grosso";1;216;45;130;60;67;15;283;817
".. Goiás";1;303;83;131;62;74;17;381;1052
".. Distrito Federal";-;107;21;37;19;16;1;132;333
"Total";18;8465;2579;4524;2259;1782;386;9891;29904
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
