 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis - 0 a 4 anos
Período:2024
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";4;938;368;704;391;328;105;1330;4168
".. Rondônia";-;73;21;61;30;13;3;94;295
".. Acre";-;45;26;30;28;30;6;71;236
".. Amazonas";2;208;91;149;117;93;54;351;1065
".. Roraima";-;41;18;32;27;49;1;63;231
".. Pará";2;427;163;351;146;111;38;572;1810
".. Amapá";-;63;18;26;24;13;2;74;220
".. Tocantins";-;81;31;55;19;19;1;105;311
"Região Nordeste";6;2379;807;1681;723;462;104;2871;9033
".. Maranhão";1;323;113;230;101;95;20;408;1291
".. Piauí";1;185;52;64;40;32;5;187;566
".. Ceará";1;301;99;221;73;47;14;424;1180
".. Rio Grande do Norte";-;161;33;96;19;17;3;140;469
".. Paraíba";-;148;64;129;56;26;8;177;608
".. Pernambuco";1;410;124;225;171;99;8;455;1493
".. Alagoas";-;131;59;175;53;37;4;174;633
".. Sergipe";1;123;24;63;36;10;4;124;385
".. Bahia";1;597;239;478;174;99;38;782;2408
"Região Sudeste";12;2929;932;1657;780;641;144;3499;10594
".. Minas Gerais";4;695;205;396;169;107;63;847;2486
".. Espírito Santo";-;153;48;93;34;64;3;215;610
".. Rio de Janeiro";4;600;203;310;200;181;20;669;2187
".. São Paulo";4;1481;476;858;377;289;58;1768;5311
"Região Sul";12;1122;289;421;192;233;39;1199;3507
".. Paraná";6;504;104;118;73;106;14;473;1398
".. Santa Catarina";5;275;95;145;54;48;10;340;972
".. Rio Grande do Sul";1;343;90;158;65;79;15;386;1137
"Região Centro-Oeste";2;758;187;366;176;204;32;993;2718
".. Mato Grosso do Sul";1;106;34;72;21;52;8;194;488
".. Mato Grosso";-;195;38;133;60;65;11;283;785
".. Goiás";-;299;97;152;68;70;13;397;1096
".. Distrito Federal";1;158;18;9;27;17;-;119;349
"Total";36;8126;2583;4829;2262;1868;424;9892;30020
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
