 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2025
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";254;10;18;61;-;50;1;-;33;304;49;8;4;24;2217;889;102;175;4199
".. Rondônia";10;1;3;3;-;4;-;-;6;9;3;-;-;4;173;66;3;10;295
".. Acre";26;1;-;8;-;3;-;-;-;30;1;-;-;-;115;40;7;14;245
".. Amazonas";76;3;7;22;-;16;-;-;5;86;16;6;3;4;558;245;24;59;1130
".. Roraima";31;-;2;7;-;2;-;-;2;35;1;-;-;1;97;43;12;31;264
".. Pará";90;5;4;17;-;19;1;-;15;111;20;1;1;14;1020;369;46;48;1781
".. Amapá";12;-;-;2;-;5;-;-;3;22;2;1;-;-;121;40;5;5;218
".. Tocantins";9;-;2;2;-;1;-;-;2;11;6;-;-;1;133;86;5;8;266
"Região Nordeste";377;24;36;88;1;99;-;2;76;564;118;11;6;40;4904;2155;148;281;8930
".. Maranhão";71;4;7;18;-;25;-;-;13;84;27;4;-;11;672;282;25;33;1276
".. Piauí";18;2;2;8;-;7;-;-;5;33;5;-;-;5;300;145;16;16;562
".. Ceará";46;3;6;15;-;13;-;-;8;71;13;-;-;5;673;292;11;47;1203
".. Rio Grande do Norte";6;4;3;4;-;5;-;1;4;12;3;-;-;5;274;110;9;15;455
".. Paraíba";31;2;5;2;1;7;-;1;7;49;5;1;-;1;346;151;7;11;627
".. Pernambuco";69;1;4;14;-;11;-;-;11;127;17;3;2;2;688;408;11;83;1451
".. Alagoas";28;-;3;7;-;5;-;-;6;30;10;-;-;-;330;133;7;14;573
".. Sergipe";13;1;2;-;-;8;-;-;5;38;4;1;1;1;250;100;6;12;442
".. Bahia";95;7;4;20;-;18;-;-;17;120;34;2;3;10;1371;534;56;50;2341
"Região Sudeste";341;38;51;70;1;102;1;1;97;570;95;7;4;58;5732;2622;245;480;10515
".. Minas Gerais";79;10;13;24;1;24;-;1;21;107;23;1;-;10;1423;647;62;75;2521
".. Espírito Santo";12;6;3;7;-;5;-;-;2;22;7;-;-;8;286;199;2;55;614
".. Rio de Janeiro";98;7;13;10;-;19;-;-;18;140;16;4;1;11;1193;467;39;147;2183
".. São Paulo";152;15;22;29;-;54;1;-;56;301;49;2;3;29;2830;1309;142;203;5197
"Região Sul";79;15;28;18;-;45;-;1;26;150;22;4;-;8;1967;942;84;144;3533
".. Paraná";34;8;10;8;-;22;-;-;10;56;9;1;-;6;837;381;23;60;1465
".. Santa Catarina";26;5;3;5;-;11;-;-;10;52;7;1;-;1;495;251;31;31;929
".. Rio Grande do Sul";19;2;15;5;-;12;-;1;6;42;6;2;-;1;635;310;30;53;1139
"Região Centro-Oeste";125;8;15;27;-;31;-;-;28;157;22;2;-;13;1360;717;112;110;2727
".. Mato Grosso do Sul";19;2;1;7;-;4;-;-;4;47;7;-;-;2;247;143;14;28;525
".. Mato Grosso";51;2;8;15;-;11;-;-;8;39;10;2;-;3;406;193;38;31;817
".. Goiás";44;3;4;4;-;14;-;-;9;55;5;-;-;7;539;289;39;40;1052
".. Distrito Federal";11;1;2;1;-;2;-;-;7;16;-;-;-;1;168;92;21;11;333
"Total";1176;95;148;264;2;327;2;4;260;1745;306;32;14;143;16180;7325;691;1190;29904
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
