 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis - 0 a 4 anos
Período:2021
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";5;1197;464;829;349;329;117;1352;4642
".. Rondônia";-;86;20;62;18;19;6;103;314
".. Acre";-;54;29;65;22;18;7;85;280
".. Amazonas";-;287;120;174;91;83;49;357;1161
".. Roraima";-;54;12;34;41;50;4;74;269
".. Pará";3;513;234;405;131;130;41;563;2020
".. Amapá";2;99;27;41;33;11;6;80;299
".. Tocantins";-;104;22;48;13;18;4;90;299
"Região Nordeste";2;2700;1108;1978;458;479;205;3123;10053
".. Maranhão";1;403;190;240;97;79;29;431;1470
".. Piauí";-;184;66;95;28;33;19;207;632
".. Ceará";-;314;129;285;61;58;27;413;1287
".. Rio Grande do Norte";1;161;62;92;14;14;3;184;531
".. Paraíba";-;159;82;182;30;34;26;195;708
".. Pernambuco";-;470;165;232;57;97;36;510;1567
".. Alagoas";-;137;66;175;26;46;9;193;652
".. Sergipe";-;121;56;71;18;19;7;146;438
".. Bahia";-;751;292;606;127;99;49;844;2768
"Região Sudeste";2;3118;1116;1869;543;599;167;3632;11046
".. Minas Gerais";-;719;227;442;107;112;89;892;2588
".. Espírito Santo";-;175;64;76;22;33;-;220;590
".. Rio de Janeiro";1;652;270;424;135;204;19;713;2418
".. São Paulo";1;1572;555;927;279;250;59;1807;5450
"Região Sul";-;1183;253;464;129;164;29;1206;3428
".. Paraná";-;479;88;148;49;78;13;488;1343
".. Santa Catarina";-;259;78;157;35;31;2;329;891
".. Rio Grande do Sul";-;445;87;159;45;55;14;389;1194
"Região Centro-Oeste";-;782;222;426;128;156;46;927;2687
".. Mato Grosso do Sul";-;94;37;74;31;39;9;167;451
".. Mato Grosso";-;184;58;131;40;51;13;256;733
".. Goiás";-;325;101;192;43;51;23;366;1101
".. Distrito Federal";-;179;26;29;14;15;1;138;402
"Total";9;8980;3163;5566;1607;1727;564;10240;31856
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
