 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2016
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4214;56;315;50;130;5;4770
".. Rondônia";341;1;7;4;4;-;357
".. Acre";210;-;22;-;7;-;239
".. Amazonas";1013;7;140;8;57;-;1225
".. Roraima";146;9;32;1;19;3;210
".. Pará";1961;34;94;28;38;2;2157
".. Amapá";271;1;8;2;2;-;284
".. Tocantins";272;4;12;7;3;-;298
"Região Nordeste";10673;127;475;118;107;5;11505
".. Maranhão";1492;18;81;36;27;2;1656
".. Piauí";698;3;43;13;6;-;763
".. Ceará";1511;14;42;13;15;1;1596
".. Rio Grande do Norte";541;8;25;3;4;-;581
".. Paraíba";665;2;26;5;11;-;709
".. Pernambuco";1693;24;86;12;6;-;1821
".. Alagoas";634;6;39;8;2;-;689
".. Sergipe";473;2;13;3;4;-;495
".. Bahia";2966;50;120;25;32;2;3195
"Região Sudeste";12354;380;364;36;54;5;13193
".. Minas Gerais";2708;67;102;22;11;2;2912
".. Espírito Santo";581;14;25;-;3;1;624
".. Rio de Janeiro";2754;158;62;4;12;-;2990
".. São Paulo";6311;141;175;10;28;2;6667
"Região Sul";3590;57;196;29;31;-;3903
".. Paraná";1483;33;87;15;12;-;1630
".. Santa Catarina";778;5;36;5;10;-;834
".. Rio Grande do Sul";1329;19;73;9;9;-;1439
"Região Centro-Oeste";2728;34;151;36;30;-;2979
".. Mato Grosso do Sul";462;5;57;13;11;-;548
".. Mato Grosso";681;11;32;10;6;-;740
".. Goiás";1156;14;51;12;11;-;1244
".. Distrito Federal";429;4;11;1;2;-;447
"Total";33559;654;1501;269;352;15;36350
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
