 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2017
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4268;44;328;44;136;5;4825
".. Rondônia";322;2;14;8;6;1;353
".. Acre";204;-;13;-;6;-;223
".. Amazonas";1066;5;143;10;68;-;1292
".. Roraima";148;5;33;3;19;2;210
".. Pará";1962;24;94;21;34;1;2136
".. Amapá";286;1;13;-;2;-;302
".. Tocantins";280;7;18;2;1;1;309
"Região Nordeste";10633;145;463;132;112;5;11490
".. Maranhão";1614;17;86;43;27;-;1787
".. Piauí";692;4;50;9;2;-;757
".. Ceará";1574;14;52;20;26;2;1688
".. Rio Grande do Norte";538;9;18;3;1;-;569
".. Paraíba";728;-;25;3;8;-;764
".. Pernambuco";1549;25;48;19;7;-;1648
".. Alagoas";624;9;35;4;3;-;675
".. Sergipe";504;2;11;2;1;1;521
".. Bahia";2810;65;138;29;37;2;3081
"Região Sudeste";12247;324;340;34;79;4;13028
".. Minas Gerais";2755;75;117;12;21;2;2982
".. Espírito Santo";565;8;17;1;5;-;596
".. Rio de Janeiro";2595;115;51;-;8;1;2770
".. São Paulo";6332;126;155;21;45;1;6680
"Região Sul";3785;61;134;29;25;-;4034
".. Paraná";1522;29;54;15;13;-;1633
".. Santa Catarina";924;6;39;3;4;-;976
".. Rio Grande do Sul";1339;26;41;11;8;-;1425
"Região Centro-Oeste";2601;59;115;37;31;3;2846
".. Mato Grosso do Sul";413;6;30;16;8;-;473
".. Mato Grosso";665;11;30;9;5;-;720
".. Goiás";1050;37;47;8;14;3;1159
".. Distrito Federal";473;5;8;4;4;-;494
"Total";33534;633;1380;276;383;17;36223
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
