 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2020
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";303;18;24;62;1;49;1;4;34;212;66;4;2;23;2498;848;139;98;4386
".. Rondônia";23;4;-;2;-;2;-;-;3;9;3;-;-;2;193;78;10;7;336
".. Acre";18;2;3;6;-;5;1;-;1;18;6;-;-;2;124;45;10;2;243
".. Amazonas";91;4;5;22;-;9;-;1;-;49;14;2;1;5;550;251;36;11;1051
".. Roraima";21;-;3;7;-;3;-;2;1;17;3;-;-;-;129;39;15;24;264
".. Pará";118;6;13;20;1;23;-;-;21;101;32;2;1;12;1208;317;63;38;1976
".. Amapá";21;-;-;3;-;3;-;-;3;13;4;-;-;1;154;55;1;6;264
".. Tocantins";11;2;-;2;-;4;-;1;5;5;4;-;-;1;140;63;4;10;252
"Região Nordeste";509;43;41;112;-;119;-;4;84;230;106;12;6;34;6117;2132;260;188;9997
".. Maranhão";72;7;6;24;-;17;-;-;14;63;24;4;1;3;904;258;36;25;1458
".. Piauí";26;5;2;4;-;17;-;-;6;24;10;-;-;6;341;155;20;12;628
".. Ceará";78;7;8;10;-;15;-;2;12;29;21;3;1;6;863;306;34;22;1417
".. Rio Grande do Norte";14;6;-;3;-;3;-;1;2;5;4;1;-;2;313;124;6;8;492
".. Paraíba";32;4;1;12;-;14;-;-;13;23;6;-;3;3;425;145;17;17;715
".. Pernambuco";81;1;6;17;-;11;-;-;5;22;12;3;-;2;891;369;30;43;1493
".. Alagoas";32;5;4;5;-;3;-;-;7;12;4;-;-;-;355;129;15;8;579
".. Sergipe";33;2;1;4;-;8;-;1;1;11;4;-;-;1;307;110;10;12;505
".. Bahia";141;6;13;33;-;31;-;-;24;41;21;1;1;11;1718;536;92;41;2710
"Região Sudeste";389;38;40;69;1;126;1;3;117;265;81;15;1;45;6562;2668;266;387;11074
".. Minas Gerais";49;7;8;19;1;28;-;-;24;37;19;4;1;5;1593;646;82;59;2582
".. Espírito Santo";17;2;1;3;-;1;-;1;1;8;4;1;-;4;302;144;7;29;525
".. Rio de Janeiro";150;9;12;22;-;35;-;1;29;90;14;3;-;8;1431;527;48;129;2508
".. São Paulo";173;20;19;25;-;62;1;1;63;130;44;7;-;28;3236;1351;129;170;5459
"Região Sul";84;14;9;20;-;31;-;1;23;48;27;3;-;8;1991;972;73;100;3404
".. Paraná";38;6;5;4;-;13;-;1;10;11;10;1;-;2;775;406;35;44;1361
".. Santa Catarina";22;5;3;10;-;13;-;-;8;18;10;2;-;4;525;261;15;17;913
".. Rio Grande do Sul";24;3;1;6;-;5;-;-;5;19;7;-;-;2;691;305;23;39;1130
"Região Centro-Oeste";96;10;14;12;-;30;-;-;21;74;27;-;1;8;1450;653;92;90;2578
".. Mato Grosso do Sul";9;1;2;3;-;4;-;-;5;12;5;-;-;2;255;106;17;30;451
".. Mato Grosso";48;1;6;3;-;8;-;-;5;23;8;-;1;5;345;170;40;26;689
".. Goiás";35;7;4;5;-;15;-;-;8;32;14;-;-;1;622;261;28;22;1054
".. Distrito Federal";4;1;2;1;-;3;-;-;3;7;-;-;-;-;228;116;7;12;384
"Total";1381;123;128;275;2;355;2;12;279;829;307;34;10;118;18618;7273;830;863;31439
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
