 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2023
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";58698;4538;20975;5328;4859;79;94477
".. Rondônia";6845;250;1861;586;418;14;9974
".. Acre";2731;17;1043;177;220;1;4189
".. Amazonas";13360;102;4808;1176;937;2;20385
".. Roraima";2193;23;655;105;333;2;3311
".. Pará";25529;3592;9978;2405;2225;51;43780
".. Amapá";2535;147;733;225;284;2;3926
".. Tocantins";5505;407;1897;654;442;7;8912
"Região Nordeste";226752;21536;99174;18373;14557;254;380646
".. Maranhão";22878;1466;10458;2172;1732;41;38747
".. Piauí";13105;303;7277;1122;700;22;22529
".. Ceará";34777;3538;16853;2851;2605;11;60635
".. Rio Grande do Norte";13035;1950;5722;974;574;47;22302
".. Paraíba";17819;934;7735;1241;1030;14;28773
".. Pernambuco";43089;4506;15378;3224;2304;26;68527
".. Alagoas";13437;1160;5339;1007;1017;5;21965
".. Sergipe";9205;162;3797;697;220;6;14087
".. Bahia";59407;7517;26615;5085;4375;82;103081
"Região Sudeste";454516;60880;115130;15426;18144;273;664369
".. Minas Gerais";104587;11563;32020;4473;4803;157;157603
".. Espírito Santo";18270;1718;5219;1163;921;24;27315
".. Rio de Janeiro";94274;22075;22225;3064;3480;30;145148
".. São Paulo";237385;25524;55666;6726;8940;62;334303
"Região Sul";154745;8740;45803;6922;9249;111;225570
".. Paraná";54971;4206;18438;3073;2755;22;83465
".. Santa Catarina";33614;1341;10180;1463;1978;13;48589
".. Rio Grande do Sul";66160;3193;17185;2386;4516;76;93516
"Região Centro-Oeste";67403;6348;18839;4250;3638;70;100548
".. Mato Grosso do Sul";13387;634;4013;850;737;17;19638
".. Mato Grosso";13835;1582;4202;1275;875;21;21790
".. Goiás";30520;2796;8332;1678;1684;31;45041
".. Distrito Federal";9661;1336;2292;447;342;1;14079
"Total";962114;102042;299921;50299;50447;787;1465610
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
