 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2022
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";59532;4864;21784;5432;4837;103;96552
".. Rondônia";6891;300;2026;602;443;15;10277
".. Acre";2757;13;961;210;212;6;4159
".. Amazonas";13140;143;4764;1206;894;8;20155
".. Roraima";2096;17;640;132;360;1;3246
".. Pará";26673;3540;10483;2532;2225;46;45499
".. Amapá";2358;304;760;145;271;8;3846
".. Tocantins";5617;547;2150;605;432;19;9370
"Região Nordeste";236831;23010;109822;18676;14527;266;403132
".. Maranhão";23541;1299;11298;2101;1663;34;39936
".. Piauí";13800;282;8422;1078;738;23;24343
".. Ceará";36802;3805;18413;3098;2535;11;64664
".. Rio Grande do Norte";13963;2258;6166;1163;637;32;24219
".. Paraíba";19479;1230;9274;1200;1198;24;32405
".. Pernambuco";45127;4455;16998;3089;2322;20;72011
".. Alagoas";13755;1394;5970;993;999;11;23122
".. Sergipe";9388;182;4169;835;213;4;14791
".. Bahia";60976;8105;29112;5119;4222;107;107641
"Região Sudeste";475791;61949;123801;15435;18174;319;695469
".. Minas Gerais";106837;12358;34556;4251;4455;158;162615
".. Espírito Santo";18699;1708;5346;1245;947;47;27992
".. Rio de Janeiro";101088;19774;23608;3001;3310;25;150806
".. São Paulo";249167;28109;60291;6938;9462;89;354056
"Região Sul";166465;10312;51292;7274;9785;93;245221
".. Paraná";57677;5185;20632;3289;3006;19;89808
".. Santa Catarina";35583;1370;10901;1431;2020;12;51317
".. Rio Grande do Sul";73205;3757;19759;2554;4759;62;104096
"Região Centro-Oeste";69913;6370;19476;4355;3711;67;103892
".. Mato Grosso do Sul";14094;665;4056;818;782;19;20434
".. Mato Grosso";13670;1678;4197;1241;929;16;21731
".. Goiás";32120;2819;8815;1802;1686;28;47270
".. Distrito Federal";10029;1208;2408;494;314;4;14457
"Total";1008532;106505;326175;51172;51034;848;1544266
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
