 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2024
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4256;123;381;65;252;-;5077
".. Rondônia";332;3;12;3;12;-;362
".. Acre";235;3;35;11;14;-;298
".. Amazonas";1035;14;129;9;100;-;1287
".. Roraima";204;16;43;4;33;-;300
".. Pará";1890;77;135;25;72;-;2199
".. Amapá";240;3;11;2;8;-;264
".. Tocantins";320;7;16;11;13;-;367
"Região Nordeste";9430;270;440;115;223;7;10485
".. Maranhão";1310;22;94;40;55;2;1523
".. Piauí";566;4;45;11;19;-;645
".. Ceará";1281;15;44;6;26;1;1373
".. Rio Grande do Norte";507;18;10;3;7;1;546
".. Paraíba";641;12;31;7;21;1;713
".. Pernambuco";1566;78;58;17;16;-;1735
".. Alagoas";657;31;18;2;21;-;729
".. Sergipe";411;3;15;2;4;1;436
".. Bahia";2491;87;125;27;54;1;2785
"Região Sudeste";11408;562;403;57;93;5;12528
".. Minas Gerais";2677;105;146;20;15;3;2966
".. Espírito Santo";616;38;27;6;11;-;698
".. Rio de Janeiro";2318;181;39;6;18;2;2564
".. São Paulo";5797;238;191;25;49;-;6300
"Região Sul";3824;127;147;37;96;1;4232
".. Paraná";1528;71;55;16;37;-;1707
".. Santa Catarina";1056;33;44;11;26;-;1170
".. Rio Grande do Sul";1240;23;48;10;33;1;1355
"Região Centro-Oeste";2935;110;184;33;65;2;3329
".. Mato Grosso do Sul";503;19;57;6;13;1;599
".. Mato Grosso";854;35;52;14;22;-;977
".. Goiás";1200;44;58;11;18;1;1332
".. Distrito Federal";378;12;17;2;12;-;421
"Total";31853;1192;1555;307;729;15;35651
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
