 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2018
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";3192;2537;41;5770
".. Rondônia";219;179;4;402
".. Acre";180;137;5;322
".. Amazonas";869;641;-;1510
".. Roraima";157;162;1;320
".. Pará";1377;1088;28;2493
".. Amapá";177;157;-;334
".. Tocantins";213;173;3;389
"Região Nordeste";7148;5861;111;13120
".. Maranhão";1087;884;7;1978
".. Piauí";483;365;7;855
".. Ceará";1034;806;15;1855
".. Rio Grande do Norte";345;304;13;662
".. Paraíba";442;374;3;819
".. Pernambuco";1073;908;26;2007
".. Alagoas";390;373;9;772
".. Sergipe";369;274;4;647
".. Bahia";1925;1573;27;3525
"Região Sudeste";8035;6769;50;14854
".. Minas Gerais";1816;1542;8;3366
".. Espírito Santo";370;330;3;703
".. Rio de Janeiro";1784;1451;11;3246
".. São Paulo";4065;3446;28;7539
"Região Sul";2524;2039;10;4573
".. Paraná";1058;847;5;1910
".. Santa Catarina";582;490;1;1073
".. Rio Grande do Sul";884;702;4;1590
"Região Centro-Oeste";1879;1528;9;3416
".. Mato Grosso do Sul";322;278;-;600
".. Mato Grosso";466;389;5;860
".. Goiás";820;622;4;1446
".. Distrito Federal";271;239;-;510
"Total";22778;18734;221;41733
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
