 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis
Período:2024
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";9;943;369;705;568;658;132;1693;5077
".. Rondônia";-;73;21;61;41;37;3;126;362
".. Acre";-;46;26;30;45;54;8;89;298
".. Amazonas";5;208;91;149;161;187;59;427;1287
".. Roraima";1;42;18;32;38;80;2;87;300
".. Pará";3;429;164;352;221;232;56;742;2199
".. Amapá";-;64;18;26;33;27;2;94;264
".. Tocantins";-;81;31;55;29;41;2;128;367
"Região Nordeste";8;2384;809;1683;1031;878;122;3570;10485
".. Maranhão";2;323;113;230;141;188;26;500;1523
".. Piauí";1;185;53;64;55;61;7;219;645
".. Ceará";1;302;99;221;112;93;14;531;1373
".. Rio Grande do Norte";-;161;33;97;34;37;3;181;546
".. Paraíba";-;148;64;129;88;56;9;219;713
".. Pernambuco";2;412;125;226;217;170;9;574;1735
".. Alagoas";-;131;59;175;81;55;4;224;729
".. Sergipe";1;123;24;63;48;24;5;148;436
".. Bahia";1;599;239;478;255;194;45;974;2785
"Região Sudeste";16;2935;934;1664;1245;1095;160;4479;12528
".. Minas Gerais";4;696;205;397;284;223;70;1087;2966
".. Espírito Santo";-;153;48;94;51;90;3;259;698
".. Rio de Janeiro";5;600;203;311;292;284;21;848;2564
".. São Paulo";7;1486;478;862;618;498;66;2285;6300
"Região Sul";14;1123;291;422;342;440;43;1557;4232
".. Paraná";7;504;105;119;141;204;17;610;1707
".. Santa Catarina";5;276;95;145;95;95;10;449;1170
".. Rio Grande do Sul";2;343;91;158;106;141;16;498;1355
"Região Centro-Oeste";2;758;188;367;304;406;40;1264;3329
".. Mato Grosso do Sul";1;106;34;72;47;86;8;245;599
".. Mato Grosso";-;195;38;133;98;136;17;360;977
".. Goiás";-;299;98;153;112;145;15;510;1332
".. Distrito Federal";1;158;18;9;47;39;-;149;421
"Total";49;8143;2591;4841;3490;3477;497;12563;35651
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
