 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2025
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";336;55;44;98;-;136;1;1;54;449;76;13;6;34;2218;981;156;405;5063
".. Rondônia";12;5;5;6;-;13;-;-;8;14;4;-;-;4;173;71;5;35;355
".. Acre";33;2;1;10;-;9;-;-;-;37;3;1;1;-;115;48;8;26;294
".. Amazonas";103;17;16;37;-;30;-;-;12;118;22;9;4;6;558;264;39;111;1346
".. Roraima";47;4;3;14;-;9;-;1;4;54;2;-;-;2;97;50;16;45;348
".. Pará";115;22;14;26;-;55;1;-;20;172;32;2;1;19;1021;409;72;144;2125
".. Amapá";14;3;-;2;-;7;-;-;5;31;3;1;-;1;121;45;10;19;262
".. Tocantins";12;2;5;3;-;13;-;-;5;23;10;-;-;2;133;94;6;25;333
"Região Nordeste";498;134;81;125;4;228;-;3;134;815;153;18;11;79;4910;2336;226;619;10374
".. Maranhão";85;22;12;27;-;51;-;-;22;121;32;5;2;17;672;304;43;86;1501
".. Piauí";25;12;3;10;1;15;-;-;10;51;7;1;-;9;301;160;19;36;660
".. Ceará";62;16;9;18;-;30;-;-;10;111;13;-;1;11;674;317;14;95;1381
".. Rio Grande do Norte";9;10;7;7;-;9;-;1;6;18;6;-;-;9;274;116;12;31;515
".. Paraíba";38;10;9;5;1;17;-;1;12;66;6;2;-;4;347;162;12;37;729
".. Pernambuco";93;17;12;21;-;38;-;1;21;189;25;4;2;9;688;451;16;139;1726
".. Alagoas";42;5;9;10;-;12;-;-;11;44;11;-;-;4;330;142;11;32;663
".. Sergipe";19;5;3;-;-;12;-;-;10;52;6;1;1;1;252;104;9;30;505
".. Bahia";125;37;17;27;2;44;-;-;32;163;47;5;5;15;1372;580;90;133;2694
"Região Sudeste";471;185;95;104;2;301;1;4;174;882;138;13;10;90;5745;2832;357;938;12342
".. Minas Gerais";122;44;31;35;1;65;-;2;38;166;34;2;1;16;1427;699;88;198;2969
".. Espírito Santo";17;16;8;7;1;17;-;-;9;38;7;1;-;10;287;215;2;84;719
".. Rio de Janeiro";120;32;21;15;-;61;-;1;36;211;25;6;4;19;1193;504;51;259;2558
".. São Paulo";212;93;35;47;-;158;1;1;91;467;72;4;5;45;2838;1414;216;397;6096
"Região Sul";119;70;47;40;-;93;-;3;38;246;36;6;-;11;1975;1025;101;295;4105
".. Paraná";54;29;20;19;-;48;-;1;17;89;14;3;-;8;839;405;30;119;1695
".. Santa Catarina";35;17;9;10;-;21;-;-;14;83;13;1;-;1;498;274;37;79;1092
".. Rio Grande do Sul";30;24;18;11;-;24;-;2;7;74;9;2;-;2;638;346;34;97;1318
"Região Centro-Oeste";174;44;29;42;-;69;-;-;36;237;38;4;3;20;1361;771;149;262;3239
".. Mato Grosso do Sul";26;8;4;10;-;11;-;-;6;65;11;-;-;3;247;156;17;64;628
".. Mato Grosso";72;10;12;22;-;18;-;-;9;66;18;4;1;6;406;210;54;70;978
".. Goiás";62;22;9;7;-;35;-;-;13;84;7;-;1;8;540;307;50;105;1250
".. Distrito Federal";14;4;4;3;-;5;-;-;8;22;2;-;1;3;168;98;28;23;383
"Total";1598;488;296;409;6;827;2;11;436;2629;441;54;30;234;16209;7945;989;2519;35123
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
