 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2018
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4890;80;510;75;211;4;5770
".. Rondônia";350;5;26;12;8;1;402
".. Acre";277;2;33;1;9;-;322
".. Amazonas";1210;8;200;9;82;1;1510
".. Roraima";232;8;57;4;18;1;320
".. Pará";2159;50;163;42;78;1;2493
".. Amapá";314;1;10;-;9;-;334
".. Tocantins";348;6;21;7;7;-;389
"Região Nordeste";11764;288;655;175;229;9;13120
".. Maranhão";1680;28;150;49;67;4;1978
".. Piauí";783;3;51;7;10;1;855
".. Ceará";1715;21;73;21;25;-;1855
".. Rio Grande do Norte";602;12;32;9;7;-;662
".. Paraíba";738;8;48;10;14;1;819
".. Pernambuco";1800;51;92;24;39;1;2007
".. Alagoas";708;12;39;8;5;-;772
".. Sergipe";617;1;23;4;2;-;647
".. Bahia";3121;152;147;43;60;2;3525
"Região Sudeste";13775;436;433;68;138;4;14854
".. Minas Gerais";3073;93;136;30;33;1;3366
".. Espírito Santo";636;16;32;4;15;-;703
".. Rio de Janeiro";2993;163;58;7;23;2;3246
".. São Paulo";7073;164;207;27;67;1;7539
"Região Sul";4175;88;193;44;71;2;4573
".. Paraná";1726;43;84;26;30;1;1910
".. Santa Catarina";989;16;51;5;12;-;1073
".. Rio Grande do Sul";1460;29;58;13;29;1;1590
"Região Centro-Oeste";3054;106;167;43;43;3;3416
".. Mato Grosso do Sul";509;13;50;14;14;-;600
".. Mato Grosso";756;28;55;8;12;1;860
".. Goiás";1303;61;48;17;15;2;1446
".. Distrito Federal";486;4;14;4;2;-;510
"Total";37658;998;1958;405;692;22;41733
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
