 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2023
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4680;120;410;70;262;2;5544
".. Rondônia";318;3;15;7;12;-;355
".. Acre";241;2;38;2;16;-;299
".. Amazonas";1251;12;136;9;86;-;1494
".. Roraima";320;4;51;3;59;-;437
".. Pará";1947;87;148;38;67;2;2289
".. Amapá";303;8;10;-;15;-;336
".. Tocantins";300;4;12;11;7;-;334
"Região Nordeste";10280;281;482;106;241;8;11398
".. Maranhão";1488;32;106;32;62;4;1724
".. Piauí";657;6;38;9;9;-;719
".. Ceará";1394;26;54;9;21;-;1504
".. Rio Grande do Norte";483;9;17;5;4;-;518
".. Paraíba";719;7;40;3;19;-;788
".. Pernambuco";1636;89;70;13;27;1;1836
".. Alagoas";667;22;17;5;26;1;738
".. Sergipe";596;4;16;2;3;-;621
".. Bahia";2640;86;124;28;70;2;2950
"Região Sudeste";12185;614;379;69;124;2;13373
".. Minas Gerais";2865;104;126;21;31;1;3148
".. Espírito Santo";643;38;22;5;16;-;724
".. Rio de Janeiro";2543;210;35;7;21;-;2816
".. São Paulo";6134;262;196;36;56;1;6685
"Região Sul";3760;101;178;43;90;2;4174
".. Paraná";1581;50;66;19;39;-;1755
".. Santa Catarina";920;21;53;15;24;-;1033
".. Rio Grande do Sul";1259;30;59;9;27;2;1386
"Região Centro-Oeste";3087;111;163;37;62;3;3463
".. Mato Grosso do Sul";553;20;49;9;23;-;654
".. Mato Grosso";902;40;36;15;18;3;1014
".. Goiás";1210;40;60;12;20;-;1342
".. Distrito Federal";422;11;18;1;1;-;453
"Total";33992;1227;1612;325;779;17;37952
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
