 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Sexo
Período:2023
"País de residência";"Masc";"Fem";"Total"
"110  GUATEMALA";1;1;2
"45   ESTADOS UNIDOS";13;3;16
"38   REINO UNIDO";3;1;4
"68   BOLIVIA";67;45;112
"91   TUNISIA";1;-;1
"121  MAURITANIA";-;1;1
"2    GABAO";4;2;6
"3    GEORGIA";5;5;10
"4    IEMEM";1;-;1
"6    MARROCOS";-;1;1
"7    PERU";11;6;17
"9    SUICA";2;-;2
"11   SOMALIA";1;1;2
"14   CAZAQUISTAO";1;-;1
"17   IRLANDA";-;1;1
"18   ISLANDIA";1;-;1
"19   ITALIA";6;4;10
"21   MEXICO";1;-;1
"24   NORUEGA";1;-;1
"32   ARGENTINA";26;18;44
"33   BRUNEI";-;1;1
"39   UCRANIA";5;-;5
"41   ALEMANHA";7;-;7
"43   BELGICA";2;-;2
"44   ESPANHA";1;-;1
"46   FRANCA";5;1;6
"48   ROMENIA";1;-;1
"49   RUSSIA";1;-;1
"51   ZAIRE";-;1;1
"55   JAPAO";1;4;5
"58   GUADALUPE";1;-;1
"62   MYANMAR";2;-;2
"67   BELIZE";-;1;1
"90   TRINIDAD E TOBAGO";-;1;1
"92   AUSTRALIA";2;1;3
"93   BAHREIN";1;-;1
"96   CANADA";4;-;4
"98   CHADE";-;1;1
"107  FILIPINAS";9;-;9
"111  GUIANA FRANCESA";1;-;1
"120  MALAVI";1;1;2
"124  PANAMA";1;-;1
"126  PARAGUAI";84;60;144
"127  QUENIA";2;-;2
"137  URUGUAI";6;3;9
"138  VENEZUELA";16;21;37
"143  AUSTRIA";3;-;3
"151  COLOMBIA";14;3;17
"156  CUBA";1;-;1
"160  FINLANDIA";1;-;1
"164  INDIA";4;-;4
"165  INDONESIA";1;-;1
"167  JORDANIA";1;1;2
"171  MALASIA";1;-;1
"182  PORTUGAL";7;-;7
"184  SAO VICENTE E GRANABINAS";1;1;2
"192  CHILE";3;-;3
"193  REPUBLICA POPULAR DA CHINA";1;-;1
"196  DINAMARCA";1;-;1
"199  GUIANA";12;7;19
"0    IGNORADO/BRANCO";8;5;13
"Total";357;202;559
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
