 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Sexo
Período:2022
"País de residência";"Masc";"Fem";"Total"
"25   POLONIA";1;-;1
"110  GUATEMALA";1;-;1
"40   VIETNA";1;-;1
"45   ESTADOS UNIDOS";10;2;12
"38   REINO UNIDO";4;1;5
"68   BOLIVIA";46;41;87
"81   QUIRGUISTAO";1;-;1
"84   SURINAME";1;-;1
"2    GABAO";1;5;6
"3    GEORGIA";1;2;3
"6    MARROCOS";1;-;1
"7    PERU";9;7;16
"9    SUICA";4;1;5
"10   TURCOMENISTAO";1;-;1
"11   SOMALIA";2;-;2
"14   CAZAQUISTAO";1;-;1
"19   ITALIA";4;1;5
"21   MEXICO";3;-;3
"29   TAIWAN (ILHA FORMOSA)";1;-;1
"32   ARGENTINA";29;16;45
"33   BRUNEI";2;-;2
"37   PAISES BAIXOS";1;-;1
"39   UCRANIA";3;-;3
"41   ALEMANHA";4;-;4
"44   ESPANHA";5;-;5
"46   FRANCA";3;1;4
"49   RUSSIA";1;-;1
"54   ISRAEL";2;-;2
"55   JAPAO";1;1;2
"75   LIBANO";1;-;1
"83   SUAZILANDIA";1;-;1
"92   AUSTRALIA";1;-;1
"96   CANADA";2;-;2
"101  DOMINICA";-;1;1
"107  FILIPINAS";11;-;11
"111  GUIANA FRANCESA";1;1;2
"120  MALAVI";-;1;1
"126  PARAGUAI";81;46;127
"127  QUENIA";2;-;2
"128  REPUBLICA CENTRO-AFRICANA";1;-;1
"135  SRI LANKA";1;-;1
"136  TURQUIA";1;-;1
"137  URUGUAI";5;9;14
"138  VENEZUELA";13;9;22
"143  AUSTRIA";-;1;1
"151  COLOMBIA";7;2;9
"155  CROACIA";1;-;1
"157  EMIRADOS ARABES UNIDOS";1;-;1
"164  INDIA";1;-;1
"165  INDONESIA";-;1;1
"175  NICARAGUA";-;1;1
"182  PORTUGAL";5;1;6
"192  CHILE";2;1;3
"193  REPUBLICA POPULAR DA CHINA";3;-;3
"199  GUIANA";3;5;8
"0    IGNORADO/BRANCO";4;1;5
"Total";292;158;450
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
