ano,dimensao,nivel,regiao,uf,sigla,Menor 1 ano,1 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Idade ignorada,Total
2017,faixa_etaria,Estado,Região Nordeste,Paraíba,PB,764,109,77,101,429,1121,1326,1843,2665,4065,5293,9180,2,26975
2017,faixa_etaria,Estado,Região Nordeste,Pernambuco,PE,1648,290,153,243,1427,3705,3680,4688,7029,10128,12983,18234,156,64364
2017,faixa_etaria,Estado,Região Nordeste,Alagoas,AL,675,128,62,97,592,1251,1177,1675,2344,3449,4078,5145,0,20673
2017,faixa_etaria,Estado,Região Nordeste,Sergipe,SE,521,62,43,68,330,915,820,1099,1541,1978,2454,3489,1,13321
2017,faixa_etaria,Estado,Região Nordeste,Bahia,BA,3081,432,259,404,2262,5339,5455,6816,10269,13649,16903,25870,176,90915
2017,faixa_etaria,Regiao,Região Sudeste,,,13028,2060,1054,1521,6789,17909,23839,38281,72275,107457,124434,183286,1759,593692
2017,faixa_etaria,Estado,Região Sudeste,Minas Gerais,MG,2982,505,274,412,1673,4432,6074,9589,16721,23328,28474,43578,76,138118
2017,faixa_etaria,Estado,Região Sudeste,Espírito Santo,ES,596,110,68,102,486,1106,1247,1744,2900,4034,4440,7272,7,24112
2017,faixa_etaria,Estado,Região Sudeste,Rio de Janeiro,RJ,2770,460,213,355,2143,5188,5462,8100,16687,25581,28453,40284,1013,136709
2017,faixa_etaria,Estado,Região Sudeste,São Paulo,SP,6680,985,499,652,2487,7183,11056,18848,35967,54514,63067,92152,663,294753
2017,faixa_etaria,Regiao,Região Sul,,,4034,633,347,514,2325,6631,8142,12284,23712,35971,43724,59318,158,197793
2017,faixa_etaria,Estado,Região Sul,Paraná,PR,1633,226,158,202,897,2613,3187,4771,8572,12789,15918,20575,92,71633
2017,faixa_etaria,Estado,Região Sul,Santa Catarina,SC,976,144,62,120,455,1398,1717,2629,5226,7282,8468,11431,11,39919
2017,faixa_etaria,Estado,Região Sul,Rio Grande do Sul,RS,1425,263,127,192,973,2620,3238,4884,9914,15900,19338,27312,55,86241
2017,faixa_etaria,Regiao,Região Centro-Oeste,,,2846,514,284,380,1610,4170,4995,6847,10880,14822,17253,21350,199,86150
2017,faixa_etaria,Estado,Região Centro-Oeste,Mato Grosso do Sul,MS,473,93,60,61,218,619,787,1163,2077,2815,3368,4202,18,15954
2017,faixa_etaria,Estado,Região Centro-Oeste,Mato Grosso,MT,720,165,62,107,345,945,1205,1513,2363,3062,3433,3759,30,17709
2017,faixa_etaria,Estado,Região Centro-Oeste,Goiás,GO,1159,179,125,160,815,2133,2338,3148,4870,6848,8121,9948,129,39973
2017,faixa_etaria,Estado,Região Centro-Oeste,Distrito Federal,DF,494,77,37,52,232,473,665,1023,1570,2097,2331,3441,22,12514
2018,faixa_etaria,Regiao,Região Norte,,,4900,870,470,597,2383,6376,6066,6747,9434,12634,14710,18862,360,84409
