ano,dimensao,nivel,regiao,uf,sigla,Cap I,Cap II,Cap III,Cap IV,Cap V,Cap VI,Cap VII,Cap VIII,Cap IX,Cap X,Cap XI,Cap XII,Cap XIII,Cap XIV,Cap XV,Cap XVI,Cap XVII,Cap XVIII,Cap XX,Total,Cap XIX,Cap XXII
2017,capitulo_cid10,Estado,Região Norte,Amazonas,AM,1007,2654,82,1156,61,266,0,3,3136,1493,697,55,105,405,53,659,297,2147,3005,17281,0,0
2017,capitulo_cid10,Estado,Região Norte,Roraima,RR,100,360,10,215,8,39,0,2,525,179,129,15,7,66,6,84,51,75,590,2461,0,0
2017,capitulo_cid10,Estado,Região Norte,Pará,PA,1984,5031,249,2873,187,697,1,6,9366,4164,1788,184,146,934,132,1336,502,2686,7714,39980,0,0
2017,capitulo_cid10,Estado,Região Norte,Amapá,AP,160,430,14,202,8,50,0,2,620,321,130,12,13,67,7,180,68,240,634,3158,0,0
2017,capitulo_cid10,Estado,Região Norte,Tocantins,TO,266,1142,31,709,112,155,0,2,2481,566,365,26,31,171,26,166,115,120,1568,8052,0,0
2017,capitulo_cid10,Regiao,Região Nordeste,,,14914,49296,2038,26038,3731,7813,4,50,95582,36149,17637,1951,1575,8888,574,7145,3112,22565,52983,352045,0,0
2017,capitulo_cid10,Estado,Região Nordeste,Maranhão,MA,1646,4317,243,2782,268,598,1,7,10876,3220,1699,166,118,747,98,1135,407,1871,5076,35275,0,0
2017,capitulo_cid10,Estado,Região Nordeste,Piauí,PI,718,2812,119,1445,218,449,1,4,6443,2068,1023,89,66,424,39,431,213,874,2414,19850,0,0
2017,capitulo_cid10,Estado,Região Nordeste,Ceará,CE,2525,9162,297,2911,726,1719,0,9,15568,7770,2855,425,375,1345,86,1007,503,2173,9807,59263,0,0
2017,capitulo_cid10,Estado,Região Nordeste,Rio Grande do Norte,RN,806,3418,131,1729,194,605,1,4,5534,2181,1124,151,114,611,35,347,195,649,3580,21409,0,0
2017,capitulo_cid10,Estado,Região Nordeste,Paraíba,PB,1007,3832,133,2242,227,651,0,4,7865,3120,1336,150,181,822,40,469,229,1572,3095,26975,0,0
2017,capitulo_cid10,Estado,Região Nordeste,Pernambuco,PE,2798,9012,305,4959,606,1487,1,8,18110,7588,3443,330,275,2003,103,952,569,2045,9770,64364,0,0
2017,capitulo_cid10,Estado,Região Nordeste,Alagoas,AL,1009,2405,105,2073,226,339,0,3,6236,1956,1151,83,82,455,16,397,184,820,3133,20673,0,0
2017,capitulo_cid10,Estado,Região Nordeste,Sergipe,SE,529,1825,71,1080,342,330,0,4,3130,1026,664,113,57,411,20,359,114,923,2323,13321,0,0
2017,capitulo_cid10,Estado,Região Nordeste,Bahia,BA,3876,12513,634,6817,924,1635,0,7,21820,7220,4342,444,307,2070,137,2048,698,11638,13785,90915,0,0
2017,capitulo_cid10,Regiao,Região Sudeste,,,25030,104604,2965,30703,5807,19020,11,82,167849,77599,30518,3096,2877,22131,730,7601,4220,33915,54934,593692,0,0
2017,capitulo_cid10,Estado,Região Sudeste,Minas Gerais,MG,6097,23234,853,7679,2341,4491,3,19,35055,17738,6809,622,779,4552,127,1773,1039,10583,14324,138118,0,0
2017,capitulo_cid10,Estado,Região Sudeste,Espírito Santo,ES,766,4172,65,1392,229,1074,0,5,6942,2798,1142,106,120,714,45,351,230,179,3782,24112,0,0
2017,capitulo_cid10,Estado,Região Sudeste,Rio de Janeiro,RJ,7466,21942,830,7985,953,3509,3,21,38127,16387,5708,907,585,5759,198,1554,821,9320,14634,136709,0,0
2017,capitulo_cid10,Estado,Região Sudeste,São Paulo,SP,10701,55256,1217,13647,2284,9946,5,37,87725,40676,16859,1461,1393,11106,360,3923,2130,13833,22194,294753,0,0
2017,capitulo_cid10,Regiao,Região Sul,,,7188,41983,804,11662,1833,7936,0,20,53773,23814,9518,500,761,5118,172,2408,1485,6951,21867,197793,0,0
2017,capitulo_cid10,Estado,Região Sul,Paraná,PR,2208,14060,294,4298,752,2825,0,7,20271,8893,3785,156,283,1883,57,982,584,1692,8603,71633,0,0
2017,capitulo_cid10,Estado,Região Sul,Santa Catarina,SC,1413,8692,188,2300,387,1395,0,8,10930,4590,1900,118,155,1084,39,575,347,1177,4621,39919,0,0
2017,capitulo_cid10,Estado,Região Sul,Rio Grande do Sul,RS,3567,19231,322,5064,694,3716,0,5,22572,10331,3833,226,323,2151,76,851,554,4082,8643,86241,0,0
2017,capitulo_cid10,Regiao,Região Centro-Oeste,,,3671,14465,356,5317,1022,2559,0,11,22702,10006,4752,236,357,2373,144,1595,985,2515,13084,86150,0,0
2017,capitulo_cid10,Estado,Região Centro-Oeste,Mato Grosso do Sul,MS,594,2817,52,1052,123,477,0,0,4564,2017,892,80,57,441,27,266,179,254,2062,15954,0,0
2017,capitulo_cid10,Estado,Região Centro-Oeste,Mato Grosso,MT,741,2667,99,1356,206,434,0,0,4307,1681,875,40,63,516,40,400,227,1036,3021,17709,0,0
2017,capitulo_cid10,Estado,Região Centro-Oeste,Goiás,GO,1778,6401,165,2326,395,1072,0,7,10484,5123,2283,97,165,1178,54,658,374,961,6452,39973,0,0
2017,capitulo_cid10,Estado,Região Centro-Oeste,Distrito Federal,DF,558,2580,40,583,298,576,0,4,3347,1185,702,19,72,238,23,271,205,264,1549,12514,0,0
2018,capitulo_cid10,Regiao,Região Norte,,,4248,11855,459,6074,407,1550,3,12,19232,8626,3625,258,307,2164,248,2664,1230,6165,15282,84409,0,0
2018,capitulo_cid10,Estado,Região Norte,Rondônia,RO,395,1312,43,493,44,193,1,1,2090,882,328,10,21,263,13,168,113,505,1290,8165,0,0
2018,capitulo_cid10,Estado,Região Norte,Acre,AC,192,595,32,288,26,87,1,0,910,539,181,5,13,118,9,133,63,213,689,4094,0,0
2018,capitulo_cid10,Estado,Região Norte,Amazonas,AM,974,2817,96,1360,64,323,0,2,3201,1509,734,39,84,405,80,642,294,2158,2928,17710,0,0
2018,capitulo_cid10,Estado,Região Norte,Roraima,RR,144,380,15,208,8,61,0,0,585,244,98,10,12,68,11,103,75,67,698,2787,0,0
2018,capitulo_cid10,Estado,Região Norte,Pará,PA,2128,5141,226,2869,160,662,1,8,9508,4463,1726,171,151,1020,112,1274,487,2837,7569,40513,0,0
2018,capitulo_cid10,Estado,Região Norte,Amapá,AP,162,446,18,215,10,71,0,1,690,336,164,9,10,86,14,169,74,218,652,3345,0,0
2018,capitulo_cid10,Estado,Região Norte,Tocantins,TO,253,1164,29,641,95,153,0,0,2248,653,394,14,16,204,9,175,124,167,1456,7795,0,0
2018,capitulo_cid10,Regiao,Região Nordeste,,,14443,50615,1920,24840,3733,8042,6,47,93731,36024,17717,1838,1590,9352,591,6844,3147,20310,49179,343969,0,0
2018,capitulo_cid10,Estado,Região Nordeste,Maranhão,MA,1682,4373,211,2960,309,646,2,9,10360,3107,1732,168,106,810,94,993,362,1790,4811,34525,0,0
2018,capitulo_cid10,Estado,Região Nordeste,Piauí,PI,740,2737,137,1426,253,472,0,5,6306,2203,1040,102,66,437,51,468,209,859,2472,19983,0,0
2018,capitulo_cid10,Estado,Região Nordeste,Ceará,CE,2265,9386,264,2584,736,1734,2,10,15446,7081,2883,363,341,1445,113,963,501,1725,9186,57028,0,0
2018,capitulo_cid10,Estado,Região Nordeste,Rio Grande do Norte,RN,878,3535,108,1767,200,565,0,4,5608,2274,1088,115,127,622,27,360,158,629,3144,21209,0,0
2018,capitulo_cid10,Estado,Região Nordeste,Paraíba,PB,1061,3971,132,2246,213,654,0,4,7635,3037,1341,124,170,906,40,413,205,1456,3036,26644,0,0
2018,capitulo_cid10,Estado,Região Nordeste,Pernambuco,PE,2744,9326,316,4572,567,1427,1,7,17211,7528,3519,304,332,2051,96,962,557,1852,8639,62011,0,0
2018,capitulo_cid10,Estado,Região Nordeste,Alagoas,AL,854,2438,106,1893,187,389,0,2,5925,1887,1130,89,88,441,26,385,192,696,2683,19411,0,0
2018,capitulo_cid10,Estado,Região Nordeste,Sergipe,SE,514,1739,59,900,307,306,1,2,3068,1262,637,109,53,437,21,388,152,957,2112,13024,0,0
2018,capitulo_cid10,Estado,Região Nordeste,Bahia,BA,3705,13110,587,6492,961,1849,0,4,22172,7645,4347,464,307,2203,123,1912,811,10346,13096,90134,0,0
2018,capitulo_cid10,Regiao,Região Sudeste,,,25240,107260,3072,31814,6260,19714,11,91,167213,76372,31200,3251,3053,23767,674,7407,4224,34634,52881,598138,0,0
2018,capitulo_cid10,Estado,Região Sudeste,Minas Gerais,MG,6170,23704,839,7733,2528,4599,3,22,34538,17028,7072,689,768,4823,139,1746,990,9446,12782,135619,0,0
2018,capitulo_cid10,Estado,Região Sudeste,Espírito Santo,ES,668,4499,74,1329,202,1072,0,5,6845,2395,1205,121,156,748,41,348,219,164,3409,23500,0,0
2018,capitulo_cid10,Estado,Região Sudeste,Rio de Janeiro,RJ,8021,22673,893,8354,1038,3676,3,29,38117,16410,5854,947,575,6283,176,1535,812,10605,14705,140706,0,0
2018,capitulo_cid10,Estado,Região Sudeste,São Paulo,SP,10381,56384,1266,14398,2492,10367,5,35,87713,40539,17069,1494,1554,11913,318,3778,2203,14419,21985,298313,0,0
2018,capitulo_cid10,Regiao,Região Sul,,,6974,43141,730,13289,2178,9132,1,11,54604,24477,10087,636,818,5671,178,2268,1520,7197,20822,203734,0,0
2018,capitulo_cid10,Estado,Região Sul,Paraná,PR,2163,14598,287,4931,905,3199,0,5,20351,9152,3975,202,312,2002,82,940,591,1604,8549,73848,0,0
2018,capitulo_cid10,Estado,Região Sul,Santa Catarina,SC,1435,9233,141,2316,513,1492,0,2,11251,4797,2001,132,178,1307,35,544,357,1283,4251,41268,0,0
2018,capitulo_cid10,Estado,Região Sul,Rio Grande do Sul,RS,3376,19310,302,6042,760,4441,1,4,23002,10528,4111,302,328,2362,61,784,572,4310,8022,88618,0,0
2018,capitulo_cid10,Regiao,Região Centro-Oeste,,,3774,15049,420,5348,1119,2597,0,8,22990,9692,4687,290,385,2474,171,1581,1035,2199,12650,86469,0,0
2018,capitulo_cid10,Estado,Região Centro-Oeste,Mato Grosso do Sul,MS,555,2953,65,1102,191,513,0,1,4968,2127,806,82,55,418,31,235,183,330,1985,16600,0,0
2018,capitulo_cid10,Estado,Região Centro-Oeste,Mato Grosso,MT,836,2767,117,1336,168,417,0,5,4478,1826,897,52,82,605,46,374,237,1040,2922,18205,0,0
2018,capitulo_cid10,Estado,Região Centro-Oeste,Goiás,GO,1802,6646,180,2300,441,1102,0,2,10465,4735,2291,131,167,1261,70,723,410,596,6185,39507,0,0
2018,capitulo_cid10,Estado,Região Centro-Oeste,Distrito Federal,DF,581,2683,58,610,319,565,0,0,3079,1004,693,25,81,190,24,249,205,233,1558,12157,0,0
2019,capitulo_cid10,Regiao,Região Norte,,,4221,12098,531,6128,446,1731,3,13,19603,9064,3858,318,313,2236,250,2536,1248,7034,14055,85686,0,0
2019,capitulo_cid10,Estado,Região Norte,Rondônia,RO,340,1446,38,573,59,205,1,2,1999,909,353,17,27,260,14,166,94,521,1314,8338,0,0
2019,capitulo_cid10,Estado,Região Norte,Acre,AC,192,561,41,232,19,66,0,0,926,639,174,6,14,101,8,123,60,311,625,4098,0,0
2019,capitulo_cid10,Estado,Região Norte,Amazonas,AM,983,2729,107,1343,54,357,0,4,3386,1574,805,46,81,440,67,644,360,2317,3030,18327,0,0
2019,capitulo_cid10,Estado,Região Norte,Roraima,RR,130,419,13,191,8,77,0,0,610,236,114,35,17,77,11,88,69,93,591,2779,0,0
2019,capitulo_cid10,Estado,Região Norte,Pará,PA,2164,5279,246,2890,195,728,2,3,9644,4573,1847,190,140,1069,130,1240,482,3290,6487,40599,0,0
2019,capitulo_cid10,Estado,Região Norte,Amapá,AP,184,503,23,213,18,81,0,1,711,409,160,10,10,97,5,150,68,250,631,3524,0,0
2019,capitulo_cid10,Estado,Região Norte,Tocantins,TO,228,1161,63,686,93,217,0,3,2327,724,405,14,24,192,15,125,115,252,1377,8021,0,0
2019,capitulo_cid10,Regiao,Região Nordeste,,,15222,52717,2053,25447,4030,9189,7,50,96244,38807,18158,2247,1687,10310,542,6545,3268,21994,44284,352801,0,0
2019,capitulo_cid10,Estado,Região Nordeste,Maranhão,MA,1734,4501,215,3092,336,664,1,9,10726,3217,1846,197,88,831,85,983,377,1712,4514,35128,0,0
2019,capitulo_cid10,Estado,Região Nordeste,Piauí,PI,754,2938,123,1630,217,542,1,3,6415,2389,1002,126,80,477,46,406,221,897,2261,20528,0,0
2019,capitulo_cid10,Estado,Região Nordeste,Ceará,CE,2375,9748,308,2703,806,2082,1,11,15490,7669,3019,412,348,1567,108,911,553,1643,6826,56580,0,0
2019,capitulo_cid10,Estado,Região Nordeste,Rio Grande do Norte,RN,884,3691,137,1723,218,658,2,3,6132,2445,1148,132,135,663,32,338,156,675,2595,21767,0,0
2019,capitulo_cid10,Estado,Região Nordeste,Paraíba,PB,1092,4296,154,2202,240,710,0,2,7743,3266,1305,167,142,1078,45,446,239,1585,2666,27378,0,0
2019,capitulo_cid10,Estado,Região Nordeste,Pernambuco,PE,2905,9698,321,4802,614,1592,1,8,17876,8017,3596,457,357,2248,73,933,562,2046,8189,64295,0,0
2019,capitulo_cid10,Estado,Região Nordeste,Alagoas,AL,916,2550,93,1917,220,408,1,4,6287,2074,1177,127,108,473,29,383,197,940,2383,20287,0,0
2019,capitulo_cid10,Estado,Região Nordeste,Sergipe,SE,574,1889,73,948,327,359,0,3,3135,1275,676,131,50,466,12,342,148,1108,1957,13473,0,0
2019,capitulo_cid10,Estado,Região Nordeste,Bahia,BA,3988,13406,629,6430,1052,2174,0,7,22440,8455,4389,498,379,2507,112,1803,815,11388,12893,93365,0,0
2019,capitulo_cid10,Regiao,Região Sudeste,,,25701,110909,3240,33269,6855,21891,10,105,170916,78472,31583,3613,3291,25959,627,7423,4197,36049,52133,616243,0,0
2019,capitulo_cid10,Estado,Região Sudeste,Minas Gerais,MG,6290,24524,862,8130,2855,5319,3,22,35493,18192,7124,664,855,5349,117,1780,1029,9301,13113,141022,0,0
2019,capitulo_cid10,Estado,Região Sudeste,Espírito Santo,ES,708,4774,95,1511,182,1224,1,5,7046,2510,1212,108,169,819,33,309,215,208,3302,24431,0,0
2019,capitulo_cid10,Estado,Região Sudeste,Rio de Janeiro,RJ,8147,22656,944,8549,1085,3940,2,35,38939,17253,6081,1067,606,6842,183,1473,802,12027,13969,144600,0,0
2019,capitulo_cid10,Estado,Região Sudeste,São Paulo,SP,10556,58955,1339,15079,2733,11408,4,43,89438,40517,17166,1774,1661,12949,294,3861,2151,14513,21749,306190,0,0
2019,capitulo_cid10,Regiao,Região Sul,,,7571,44064,793,13271,2140,9463,2,21,54161,25044,10276,674,817,6202,159,2281,1565,7253,20329,206086,0,0
2019,capitulo_cid10,Estado,Região Sul,Paraná,PR,2330,14860,320,4646,912,3393,0,4,20294,9155,4200,215,308,2167,72,881,636,1785,8388,74566,0,0
2019,capitulo_cid10,Estado,Região Sul,Santa Catarina,SC,1602,9286,160,2425,454,1519,1,5,11468,5219,2035,148,183,1304,31,536,337,1240,4329,42282,0,0
2019,capitulo_cid10,Estado,Região Sul,Rio Grande do Sul,RS,3639,19918,313,6200,774,4551,1,12,22399,10670,4041,311,326,2731,56,864,592,4228,7612,89238,0,0
2019,capitulo_cid10,Regiao,Região Centro-Oeste,,,3951,15513,451,5370,1055,2961,1,17,23208,10618,4895,300,398,2859,148,1569,1030,2642,11999,88985,0,0
2019,capitulo_cid10,Estado,Região Centro-Oeste,Mato Grosso do Sul,MS,635,2895,69,982,116,516,0,4,4894,2248,912,82,55,541,24,252,167,513,1910,16815,0,0
2019,capitulo_cid10,Estado,Região Centro-Oeste,Mato Grosso,MT,828,2889,115,1267,212,500,0,2,4430,1927,868,51,92,664,44,396,237,1035,2784,18341,0,0
