 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2026
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";778;672;6;1456
".. Rondônia";55;37;-;92
".. Acre";51;47;-;98
".. Amazonas";189;172;-;361
".. Roraima";38;37;-;75
".. Pará";351;300;4;655
".. Amapá";34;33;-;67
".. Tocantins";60;46;2;108
"Região Nordeste";1846;1466;26;3338
".. Maranhão";269;220;5;494
".. Piauí";108;74;2;184
".. Ceará";222;169;3;394
".. Rio Grande do Norte";82;81;2;165
".. Paraíba";147;124;1;272
".. Pernambuco";301;201;4;506
".. Alagoas";152;110;-;262
".. Sergipe";97;79;2;178
".. Bahia";468;408;7;883
"Região Sudeste";1952;1566;10;3528
".. Minas Gerais";429;364;2;795
".. Espírito Santo";106;88;-;194
".. Rio de Janeiro";392;292;1;685
".. São Paulo";1025;822;7;1854
"Região Sul";715;594;8;1317
".. Paraná";279;256;3;538
".. Santa Catarina";208;165;3;376
".. Rio Grande do Sul";228;173;2;403
"Região Centro-Oeste";490;411;1;902
".. Mato Grosso do Sul";87;67;-;154
".. Mato Grosso";165;143;-;308
".. Goiás";175;143;1;319
".. Distrito Federal";63;58;-;121
"Total";5781;4709;51;10541
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
