 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2019
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4176;77;323;43;122;3;4744
".. Rondônia";289;1;15;3;3;-;311
".. Acre";230;1;19;-;9;-;259
".. Amazonas";1058;4;119;7;53;-;1241
".. Roraima";191;8;45;2;17;1;264
".. Pará";1884;52;98;27;31;2;2094
".. Amapá";266;9;5;2;7;-;289
".. Tocantins";258;2;22;2;2;-;286
"Região Nordeste";10172;214;414;107;126;2;11035
".. Maranhão";1443;28;92;32;32;-;1627
".. Piauí";650;4;31;13;4;-;702
".. Ceará";1482;22;46;15;15;-;1580
".. Rio Grande do Norte";510;7;23;2;4;1;547
".. Paraíba";718;3;19;1;11;-;752
".. Pernambuco";1496;35;60;16;25;1;1633
".. Alagoas";626;4;18;3;8;-;659
".. Sergipe";542;2;20;1;-;-;565
".. Bahia";2705;109;105;24;27;-;2970
"Região Sudeste";11989;326;295;35;57;5;12707
".. Minas Gerais";2732;71;103;20;14;2;2942
".. Espírito Santo";540;14;25;-;6;-;585
".. Rio de Janeiro";2550;120;50;3;11;3;2737
".. São Paulo";6167;121;117;12;26;-;6443
"Região Sul";3723;56;122;14;38;-;3953
".. Paraná";1479;32;54;5;12;-;1582
".. Santa Catarina";898;2;29;6;7;-;942
".. Rio Grande do Sul";1346;22;39;3;19;-;1429
"Região Centro-Oeste";2635;69;107;18;24;1;2854
".. Mato Grosso do Sul";428;17;29;3;8;-;485
".. Mato Grosso";691;18;25;8;5;-;747
".. Goiás";1168;30;47;6;8;1;1260
".. Distrito Federal";348;4;6;1;3;-;362
"Total";32695;742;1261;217;367;11;35293
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
