 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis - 0 a 4 anos
Período:2022
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";1;1013;388;787;420;312;105;1342;4368
".. Rondônia";-;95;26;66;30;17;5;95;334
".. Acre";-;41;19;53;28;15;9;84;249
".. Amazonas";1;254;104;161;104;97;45;372;1138
".. Roraima";-;30;13;40;35;48;3;77;246
".. Pará";-;443;189;385;172;103;41;544;1877
".. Amapá";-;80;22;33;28;9;1;73;246
".. Tocantins";-;70;15;49;23;23;1;97;278
"Região Nordeste";1;2700;1042;1747;690;560;168;3084;9992
".. Maranhão";-;361;167;234;127;95;23;494;1501
".. Piauí";-;205;95;65;44;32;7;218;666
".. Ceará";-;319;148;270;79;82;21;398;1317
".. Rio Grande do Norte";-;153;44;77;19;17;5;128;443
".. Paraíba";-;215;57;141;52;48;19;217;749
".. Pernambuco";-;473;138;225;108;119;22;473;1558
".. Alagoas";-;125;62;149;44;33;11;163;587
".. Sergipe";-;162;50;71;50;27;2;141;503
".. Bahia";1;687;281;515;167;107;58;852;2668
"Região Sudeste";5;3191;1122;1853;716;646;160;3706;11399
".. Minas Gerais";1;772;258;434;127;111;72;897;2672
".. Espírito Santo";-;164;43;78;40;41;-;192;558
".. Rio de Janeiro";4;668;219;361;202;191;12;717;2374
".. São Paulo";-;1587;602;980;347;303;76;1900;5795
"Região Sul";2;1180;289;479;183;228;39;1281;3681
".. Paraná";2;511;123;145;77;107;15;471;1451
".. Santa Catarina";-;250;87;169;53;58;12;332;961
".. Rio Grande do Sul";-;419;79;165;53;63;12;478;1269
"Região Centro-Oeste";-;774;237;385;193;178;44;1006;2817
".. Mato Grosso do Sul";-;112;42;66;45;40;12;183;500
".. Mato Grosso";-;183;65;137;63;55;17;299;819
".. Goiás";-;319;103;175;70;77;15;377;1136
".. Distrito Federal";-;160;27;7;15;6;-;147;362
"Total";9;8858;3078;5251;2202;1924;516;10419;32257
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
