 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis - 0 a 4 anos
Período:2019
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";6;1136;445;797;431;305;139;1485;4744
".. Rondônia";-;80;23;60;20;16;4;108;311
".. Acre";2;38;20;60;29;20;3;87;259
".. Amazonas";2;319;111;152;131;77;65;384;1241
".. Roraima";-;38;8;34;29;59;7;89;264
".. Pará";2;516;241;415;176;90;46;608;2094
".. Amapá";-;86;20;41;28;18;5;91;289
".. Tocantins";-;59;22;35;18;25;9;118;286
"Região Nordeste";6;2945;1108;2153;715;496;228;3384;11035
".. Maranhão";2;439;183;306;140;80;35;442;1627
".. Piauí";-;216;74;105;47;21;26;213;702
".. Ceará";-;370;173;302;91;69;36;539;1580
".. Rio Grande do Norte";-;173;46;105;33;28;6;156;547
".. Paraíba";-;195;59;171;54;27;12;234;752
".. Pernambuco";2;520;138;255;85;120;19;494;1633
".. Alagoas";-;153;60;159;46;26;6;209;659
".. Sergipe";-;158;76;92;39;22;11;167;565
".. Bahia";2;721;299;658;180;103;77;930;2970
"Região Sudeste";14;3562;1192;2312;757;568;216;4086;12707
".. Minas Gerais";3;808;252;565;128;109;101;976;2942
".. Espírito Santo";1;175;53;76;43;34;-;203;585
".. Rio de Janeiro";5;791;267;397;229;187;27;834;2737
".. São Paulo";5;1788;620;1274;357;238;88;2073;6443
"Região Sul";3;1259;350;553;174;187;31;1396;3953
".. Paraná";2;559;122;169;53;81;12;584;1582
".. Santa Catarina";-;270;78;166;54;34;9;331;942
".. Rio Grande do Sul";1;430;150;218;67;72;10;481;1429
"Região Centro-Oeste";1;779;236;448;180;144;48;1018;2854
".. Mato Grosso do Sul";-;97;46;89;25;35;11;182;485
".. Mato Grosso";-;171;52;139;69;41;18;257;747
".. Goiás";1;348;110;198;68;57;19;459;1260
".. Distrito Federal";-;163;28;22;18;11;-;120;362
"Total";30;9681;3331;6263;2257;1700;662;11369;35293
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
