 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2021
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";304;13;26;79;-;48;2;-;28;228;53;6;2;18;2583;937;165;150;4642
".. Rondônia";23;2;1;7;-;2;-;-;1;3;-;1;-;1;171;81;12;9;314
".. Acre";16;1;1;10;-;4;1;-;-;20;4;-;-;1;153;47;17;5;280
".. Amazonas";87;3;3;27;-;11;1;-;3;55;17;4;1;2;620;248;46;33;1161
".. Roraima";23;1;-;11;-;3;-;-;4;39;2;-;1;-;108;43;14;20;269
".. Pará";119;4;16;17;-;23;-;-;17;90;23;1;-;9;1188;390;59;64;2020
".. Amapá";28;2;4;3;-;2;-;-;1;16;3;-;-;4;164;57;10;5;299
".. Tocantins";8;-;1;4;-;3;-;-;2;5;4;-;-;1;179;71;7;14;299
"Região Nordeste";530;40;49;107;-;112;-;3;87;280;88;11;6;27;6055;2192;241;225;10053
".. Maranhão";87;7;12;18;-;24;-;-;8;51;23;1;-;6;871;287;38;37;1470
".. Piauí";35;2;4;8;-;8;-;-;4;17;5;1;-;1;361;151;27;8;632
".. Ceará";81;3;8;10;-;16;-;1;19;47;9;-;1;3;758;280;16;35;1287
".. Rio Grande do Norte";17;4;3;2;-;6;-;-;4;10;3;-;1;2;325;140;6;8;531
".. Paraíba";33;5;3;8;-;7;-;-;4;18;5;1;-;3;452;137;17;15;708
".. Pernambuco";74;12;3;21;-;7;-;1;6;41;9;3;2;3;911;393;30;51;1567
".. Alagoas";38;1;-;9;-;11;-;1;8;14;4;1;-;-;385;135;23;22;652
".. Sergipe";32;1;3;3;-;11;-;-;3;12;3;-;-;1;255;97;7;10;438
".. Bahia";133;5;13;28;-;22;-;-;31;70;27;4;2;8;1737;572;77;39;2768
"Região Sudeste";410;52;58;87;1;119;-;3;100;376;92;6;5;33;6378;2605;254;467;11046
".. Minas Gerais";74;10;15;26;-;27;-;2;15;64;28;1;-;9;1507;661;77;72;2588
".. Espírito Santo";11;3;2;-;-;7;-;-;6;18;5;1;-;1;326;176;2;32;590
".. Rio de Janeiro";142;8;15;19;1;23;-;-;26;104;16;3;-;5;1373;470;46;167;2418
".. São Paulo";183;31;26;42;-;62;-;1;53;190;43;1;5;18;3172;1298;129;196;5450
"Região Sul";91;15;13;26;1;33;-;-;30;64;22;1;-;8;1954;960;88;122;3428
".. Paraná";32;7;4;12;-;18;-;-;10;23;9;1;-;2;741;385;47;52;1343
".. Santa Catarina";23;2;4;7;-;5;-;-;12;21;8;-;-;3;516;252;19;19;891
".. Rio Grande do Sul";36;6;5;7;1;10;-;-;8;20;5;-;-;3;697;323;22;51;1194
"Região Centro-Oeste";107;7;15;23;-;25;-;-;18;91;20;1;1;9;1501;704;62;103;2687
".. Mato Grosso do Sul";23;2;3;7;-;5;-;-;3;23;6;1;-;2;223;117;6;30;451
".. Mato Grosso";36;1;6;10;-;4;-;-;5;30;7;-;-;3;392;190;19;30;733
".. Goiás";44;2;4;3;-;16;-;-;4;31;6;-;1;2;648;279;31;30;1101
".. Distrito Federal";4;2;2;3;-;-;-;-;6;7;1;-;-;2;238;118;6;13;402
"Total";1442;127;161;322;2;337;2;6;263;1039;275;25;14;95;18471;7398;810;1067;31856
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
