 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causa mal definidas
Período:2025
"Região/Unidade da Federação";"Sint sinais e achad anorm,exc morte súbita infânci";"Doenças do aparelho circulatório, mal definidas";"Doenças do aparelho respiratório, mal definidas";"Afecções originad período perinatal, mal definidas";"Total"
"Região Norte";83;1;11;32;127
".. Rondônia";2;1;1;1;5
".. Acre";6;-;3;2;11
".. Amazonas";23;-;-;13;36
".. Roraima";8;-;2;-;10
".. Pará";36;-;5;14;55
".. Amapá";4;-;-;-;4
".. Tocantins";4;-;-;2;6
"Região Nordeste";117;-;11;57;185
".. Maranhão";17;-;2;9;28
".. Piauí";10;-;1;2;13
".. Ceará";9;-;1;6;16
".. Rio Grande do Norte";9;-;-;1;10
".. Paraíba";6;-;1;4;11
".. Pernambuco";9;-;-;3;12
".. Alagoas";5;-;-;4;9
".. Sergipe";4;-;-;-;4
".. Bahia";48;-;6;28;82
"Região Sudeste";213;1;11;27;252
".. Minas Gerais";56;1;5;21;83
".. Rio de Janeiro";38;-;1;2;41
".. São Paulo";119;-;5;4;128
"Região Sul";59;-;2;5;66
".. Paraná";12;-;1;1;14
".. Santa Catarina";24;-;-;2;26
".. Rio Grande do Sul";23;-;1;2;26
"Região Centro-Oeste";97;1;2;16;116
".. Mato Grosso do Sul";13;-;1;3;17
".. Mato Grosso";34;1;-;4;39
".. Goiás";29;-;1;9;39
".. Distrito Federal";21;-;-;-;21
"Total";569;3;37;137;746
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
