 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis - 0 a 4 anos
Período:2017
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";4;1146;518;900;430;330;110;1387;4825
".. Rondônia";-;61;23;67;35;31;7;129;353
".. Acre";-;41;23;50;18;19;4;68;223
".. Amazonas";1;285;132;195;149;127;44;359;1292
".. Roraima";-;34;11;23;21;37;2;82;210
".. Pará";3;534;274;466;157;81;46;575;2136
".. Amapá";-;77;28;71;31;16;6;73;302
".. Tocantins";-;114;27;28;19;19;1;101;309
"Região Nordeste";4;3081;1320;2427;632;568;215;3243;11490
".. Maranhão";2;469;241;380;118;101;29;447;1787
".. Piauí";-;220;92;93;66;27;16;243;757
".. Ceará";1;416;187;362;86;91;24;521;1688
".. Rio Grande do Norte";-;153;52;137;21;24;2;180;569
".. Paraíba";-;189;94;171;42;34;8;226;764
".. Pernambuco";-;530;159;235;90;115;17;502;1648
".. Alagoas";1;149;57;187;46;45;6;184;675
".. Sergipe";-;173;54;121;21;14;9;129;521
".. Bahia";-;782;384;741;142;117;104;811;3081
"Região Sudeste";16;3583;1274;2345;821;602;239;4148;13028
".. Minas Gerais";4;836;258;553;118;118;81;1014;2982
".. Espírito Santo";-;158;81;95;39;33;6;184;596
".. Rio de Janeiro";3;799;288;445;210;162;26;837;2770
".. São Paulo";9;1790;647;1252;454;289;126;2113;6680
"Região Sul";4;1376;368;520;161;199;45;1361;4034
".. Paraná";1;651;135;163;57;80;13;533;1633
".. Santa Catarina";-;269;106;161;32;30;13;365;976
".. Rio Grande do Sul";3;456;127;196;72;89;19;463;1425
"Região Centro-Oeste";-;825;241;440;138;159;55;988;2846
".. Mato Grosso do Sul";-;102;64;69;23;41;7;167;473
".. Mato Grosso";-;213;44;125;42;40;12;244;720
".. Goiás";-;325;99;201;61;56;28;389;1159
".. Distrito Federal";-;185;34;45;12;22;8;188;494
"Total";28;10011;3721;6632;2182;1858;664;11127;36223
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
