 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2023
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";256;11;31;62;-;69;6;45;395;61;6;1;26;2286;981;136;145;4517
".. Rondônia";12;1;2;1;-;6;-;1;19;2;-;-;5;153;73;8;10;293
".. Acre";19;-;3;5;-;6;-;2;24;1;-;-;1;123;42;12;7;245
".. Amazonas";74;6;4;25;-;21;1;10;140;21;-;-;6;545;273;48;30;1204
".. Roraima";26;-;4;9;-;3;2;4;42;8;2;-;3;129;56;6;19;313
".. Pará";91;3;14;19;-;17;1;25;131;20;4;1;10;1062;388;56;55;1897
".. Amapá";19;1;4;-;-;8;2;3;33;5;-;-;1;121;61;6;7;271
".. Tocantins";15;-;-;3;-;8;-;-;6;4;-;-;-;153;88;-;17;294
"Região Nordeste";479;32;48;85;3;130;2;88;606;93;10;5;56;5380;2240;192;259;9708
".. Maranhão";110;7;9;19;2;12;-;13;104;24;2;2;6;751;325;29;28;1443
".. Piauí";23;2;5;4;-;9;-;3;34;6;-;-;2;343;174;19;6;630
".. Ceará";54;2;4;10;-;13;-;7;69;9;2;2;8;752;317;21;32;1302
".. Rio Grande do Norte";14;2;4;4;-;6;-;4;15;5;-;-;6;248;125;1;6;440
".. Paraíba";26;1;4;2;-;10;-;15;50;3;1;-;2;369;151;11;23;668
".. Pernambuco";73;5;5;21;1;18;1;5;137;12;1;1;9;747;389;24;86;1535
".. Alagoas";35;4;3;5;-;11;-;6;44;3;-;-;1;365;124;13;17;631
".. Sergipe";27;1;3;2;-;5;-;3;48;3;2;-;6;299;113;10;14;536
".. Bahia";117;8;11;18;-;46;1;32;105;28;2;-;16;1506;522;64;47;2523
"Região Sudeste";383;38;53;82;-;144;3;96;578;94;3;3;58;6356;2686;262;496;11335
".. Minas Gerais";71;5;12;25;-;25;1;14;112;21;-;-;11;1507;653;103;78;2638
".. Espírito Santo";10;2;5;6;-;6;-;2;31;5;-;-;9;309;176;1;43;605
".. Rio de Janeiro";105;9;9;18;-;36;-;29;159;24;-;2;16;1283;502;25;153;2370
".. São Paulo";197;22;27;33;-;77;2;51;276;44;3;1;22;3257;1355;133;222;5722
"Região Sul";89;9;17;31;-;32;1;22;141;14;1;2;6;1941;1000;89;165;3560
".. Paraná";40;4;10;22;-;9;-;10;50;6;-;-;2;814;431;35;78;1511
".. Santa Catarina";16;2;4;5;-;9;1;9;50;5;1;2;2;476;238;19;39;878
".. Rio Grande do Sul";33;3;3;4;-;14;-;3;41;3;-;-;2;651;331;35;48;1171
"Região Centro-Oeste";134;7;11;33;-;30;-;29;183;28;7;2;13;1514;747;63;96;2897
".. Mato Grosso do Sul";22;-;1;12;-;2;-;3;43;5;-;-;1;258;149;15;34;545
".. Mato Grosso";47;-;5;10;-;9;-;7;55;6;5;-;7;429;193;25;24;822
".. Goiás";51;6;4;10;-;17;-;17;65;14;2;2;3;607;302;17;27;1144
".. Distrito Federal";14;1;1;1;-;2;-;2;20;3;-;-;2;220;103;6;11;386
"Total";1341;97;160;293;3;405;12;280;1903;290;27;13;159;17477;7654;742;1161;32017
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
