 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causa mal definidas
Período:2024
"Região/Unidade da Federação";"Sint sinais e achad anorm,exc morte súbita infânci";"Doenças do aparelho circulatório, mal definidas";"Doenças do aparelho respiratório, mal definidas";"Afecções originad período perinatal, mal definidas";"Total"
"Região Norte";111;2;11;40;164
".. Rondônia";3;-;-;-;3
".. Acre";9;-;1;-;10
".. Amazonas";34;-;1;20;55
".. Roraima";4;-;1;1;6
".. Pará";57;2;6;17;82
".. Amapá";3;-;1;1;5
".. Tocantins";1;-;1;1;3
"Região Nordeste";148;3;19;62;232
".. Maranhão";32;2;5;4;43
".. Piauí";7;-;1;2;10
".. Ceará";9;1;1;1;12
".. Rio Grande do Norte";4;-;-;2;6
".. Paraíba";10;-;1;6;17
".. Pernambuco";9;-;1;1;11
".. Alagoas";6;-;1;2;9
".. Sergipe";7;-;-;3;10
".. Bahia";64;-;9;41;114
"Região Sudeste";190;1;8;24;223
".. Minas Gerais";57;-;2;12;71
".. Espírito Santo";2;-;-;-;2
".. Rio de Janeiro";40;1;2;5;48
".. São Paulo";91;-;4;7;102
"Região Sul";58;-;2;3;63
".. Paraná";17;-;-;-;17
".. Santa Catarina";16;-;2;2;20
".. Rio Grande do Sul";25;-;-;1;26
"Região Centro-Oeste";44;-;6;18;68
".. Mato Grosso do Sul";7;-;3;1;11
".. Mato Grosso";17;-;1;7;25
".. Goiás";18;-;1;10;29
".. Distrito Federal";2;-;1;-;3
"Total";551;6;46;147;750
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
