 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causa mal definidas
Período:2016
"Região/Unidade da Federação";"Sint sinais e achad anorm,exc morte súbita infânci";"Doenças do aparelho circulatório, mal definidas";"Doenças do aparelho respiratório, mal definidas";"Afecções originad período perinatal, mal definidas";"Total"
"Região Norte";142;1;11;79;233
".. Rondônia";7;-;2;2;11
".. Acre";8;1;2;7;18
".. Amazonas";50;-;2;13;65
".. Roraima";7;-;-;-;7
".. Pará";63;-;4;49;116
".. Amapá";6;-;1;6;13
".. Tocantins";1;-;-;2;3
"Região Nordeste";236;1;19;178;434
".. Maranhão";27;-;7;39;73
".. Piauí";12;-;1;8;21
".. Ceará";11;1;1;11;24
".. Rio Grande do Norte";14;-;1;2;17
".. Paraíba";19;-;1;12;32
".. Pernambuco";34;-;-;4;38
".. Alagoas";12;-;2;5;19
".. Sergipe";6;-;-;2;8
".. Bahia";101;-;6;95;202
"Região Sudeste";291;1;16;83;391
".. Minas Gerais";82;-;6;48;136
".. Espírito Santo";2;-;-;-;2
".. Rio de Janeiro";45;1;1;4;51
".. São Paulo";162;-;9;31;202
"Região Sul";71;-;5;11;87
".. Paraná";15;-;3;5;23
".. Santa Catarina";17;-;1;2;20
".. Rio Grande do Sul";39;-;1;4;44
"Região Centro-Oeste";61;-;5;21;87
".. Mato Grosso do Sul";20;-;1;3;24
".. Mato Grosso";21;-;2;8;31
".. Goiás";20;-;1;10;31
".. Distrito Federal";-;-;1;-;1
"Total";801;3;56;372;1232
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
