 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis - 0 a 4 anos
Período:2016
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";3;1121;496;927;414;313;120;1376;4770
".. Rondônia";-;74;24;68;22;15;4;150;357
".. Acre";-;35;12;53;25;14;6;94;239
".. Amazonas";1;289;108;180;128;118;48;353;1225
".. Roraima";-;47;7;25;27;39;5;60;210
".. Pará";2;514;287;477;180;96;54;547;2157
".. Amapá";-;58;30;85;16;12;2;81;284
".. Tocantins";-;104;28;39;16;19;1;91;298
"Região Nordeste";8;2868;1340;2395;711;605;247;3331;11505
".. Maranhão";1;368;225;310;138;116;59;439;1656
".. Piauí";-;257;95;99;44;30;16;222;763
".. Ceará";2;369;171;370;74;69;21;520;1596
".. Rio Grande do Norte";-;151;55;121;34;26;6;188;581
".. Paraíba";1;147;82;165;50;25;17;222;709
".. Pernambuco";2;529;174;298;114;139;23;542;1821
".. Alagoas";1;136;81;190;55;39;4;183;689
".. Sergipe";1;134;63;104;28;19;6;140;495
".. Bahia";-;777;394;738;174;142;95;875;3195
"Região Sudeste";8;3533;1160;2383;886;704;273;4246;13193
".. Minas Gerais";3;762;215;584;145;132;97;974;2912
".. Espírito Santo";1;181;66;103;32;43;4;194;624
".. Rio de Janeiro";1;828;263;447;299;231;32;889;2990
".. São Paulo";3;1762;616;1249;410;298;140;2189;6667
"Região Sul";3;1275;345;511;203;218;42;1306;3903
".. Paraná";1;577;144;176;74;109;17;532;1630
".. Santa Catarina";1;243;72;136;39;34;7;302;834
".. Rio Grande do Sul";1;455;129;199;90;75;18;472;1439
"Região Centro-Oeste";1;869;256;479;167;171;38;998;2979
".. Mato Grosso do Sul";-;107;50;93;33;52;7;206;548
".. Mato Grosso";-;178;57;140;68;48;8;241;740
".. Goiás";1;367;120;199;46;58;20;433;1244
".. Distrito Federal";-;217;29;47;20;13;3;118;447
"Total";23;9666;3597;6695;2381;2011;720;11257;36350
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
