 Óbitos infantis - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causa mal definidas
Período:2017
"Região/Unidade da Federação";"Sint sinais e achad anorm,exc morte súbita infânci";"Doenças do aparelho circulatório, mal definidas";"Doenças do aparelho respiratório, mal definidas";"Afecções originad período perinatal, mal definidas";"Total"
"Região Norte";117;-;13;78;208
".. Rondônia";12;-;-;2;14
".. Acre";-;-;-;8;8
".. Amazonas";53;-;7;16;76
".. Roraima";5;-;2;-;7
".. Pará";38;-;3;48;89
".. Amapá";7;-;-;3;10
".. Tocantins";2;-;1;1;4
"Região Nordeste";207;2;23;169;401
".. Maranhão";37;-;6;31;74
".. Piauí";17;1;2;4;24
".. Ceará";13;-;4;12;29
".. Rio Grande do Norte";5;-;-;4;9
".. Paraíba";13;1;2;2;18
".. Pernambuco";7;-;-;5;12
".. Alagoas";10;-;-;7;17
".. Sergipe";9;-;1;-;10
".. Bahia";96;-;8;104;208
"Região Sudeste";280;1;15;86;382
".. Minas Gerais";101;1;7;52;161
".. Espírito Santo";3;-;-;-;3
".. Rio de Janeiro";54;-;3;3;60
".. São Paulo";122;-;5;31;158
"Região Sul";66;-;4;9;79
".. Paraná";19;-;1;2;22
".. Santa Catarina";16;-;2;2;20
".. Rio Grande do Sul";31;-;1;5;37
"Região Centro-Oeste";51;-;5;21;77
".. Mato Grosso do Sul";7;-;-;2;9
".. Mato Grosso";14;-;1;4;19
".. Goiás";23;-;2;15;40
".. Distrito Federal";7;-;2;-;9
"Total";721;3;60;363;1147
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
