 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2026
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";1336;68;762;1258;892;8;4324
".. Rondônia";160;11;76;145;69;1;462
".. Acre";32;-;52;41;44;1;170
".. Amazonas";283;1;174;196;150;1;805
".. Roraima";80;1;30;27;31;-;169
".. Pará";551;48;308;657;438;4;2006
".. Amapá";50;3;45;41;79;1;219
".. Tocantins";180;4;77;151;81;-;493
"Região Nordeste";5543;381;2646;4671;2762;22;16025
".. Maranhão";623;18;318;570;396;2;1927
".. Piauí";351;4;205;274;116;-;950
".. Ceará";836;75;575;656;564;2;2708
".. Rio Grande do Norte";308;31;127;233;86;4;789
".. Paraíba";373;17;193;321;182;1;1087
".. Pernambuco";917;139;445;772;453;1;2727
".. Alagoas";313;17;118;253;170;-;871
".. Sergipe";329;4;111;193;41;1;679
".. Bahia";1493;76;554;1399;754;11;4287
"Região Sudeste";9257;938;2911;3729;1808;24;18667
".. Minas Gerais";2036;190;910;891;463;15;4505
".. Espírito Santo";565;74;228;325;144;2;1338
".. Rio de Janeiro";2357;303;380;682;548;5;4275
".. São Paulo";4299;371;1393;1831;653;2;8549
"Região Sul";3081;151;1447;1870;962;5;7516
".. Paraná";1395;90;534;914;355;1;3289
".. Santa Catarina";737;24;364;434;278;1;1838
".. Rio Grande do Sul";949;37;549;522;329;3;2389
"Região Centro-Oeste";1676;97;697;970;521;4;3965
".. Mato Grosso do Sul";258;11;145;184;131;-;729
".. Mato Grosso";330;15;176;240;130;2;893
".. Goiás";834;56;299;430;214;2;1835
".. Distrito Federal";254;15;77;116;46;-;508
"Total";20893;1635;8463;12498;6945;63;50497
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
