 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Grande Grupo CID10
Período:2022
"Região/Unidade da Federação";"V01-V99 Acidentes de transporte";"W00-X59 Outras causas externas de lesões acident";"X60-X84 Lesões autoprovocadas voluntariamente";"X85-Y09 Agressões";"Y10-Y34 Eventos cuja intenção é indeterminada";"Y35-Y36 Intervenções legais e operações de guerra";"Y40-Y84 Complic assistência médica e cirúrgica";"Y85-Y89 Seqüelas de causas externas";"Total"
"Região Norte";3606;2594;1312;6404;460;150;44;25;14595
".. Rondônia";499;273;150;598;67;3;8;1;1599
".. Acre";102;96;81;238;5;-;-;-;522
".. Amazonas";475;574;297;1770;92;1;4;9;3222
".. Roraima";166;122;55;229;36;2;-;1;611
".. Pará";1702;1125;499;2813;183;88;14;10;6434
".. Amapá";103;113;81;306;21;52;14;1;691
".. Tocantins";559;291;149;450;56;4;4;3;1516
"Região Nordeste";10412;8843;3837;19304;3988;825;511;93;47813
".. Maranhão";1408;876;395;1938;122;4;106;5;4854
".. Piauí";872;477;364;793;108;1;15;13;2643
".. Ceará";1869;1378;790;3020;1074;10;36;4;8181
".. Rio Grande do Norte";425;396;238;1167;217;-;63;3;2509
".. Paraíba";863;628;328;1105;95;-;49;2;3070
".. Pernambuco";1472;1885;488;3409;1182;-;55;11;8502
".. Alagoas";580;417;193;1117;77;19;75;6;2484
".. Sergipe";424;379;162;764;158;6;21;8;1922
".. Bahia";2499;2407;879;5991;955;785;91;41;13648
"Região Sudeste";11001;16037;6022;10386;9393;434;1344;231;54848
".. Minas Gerais";3150;3890;2048;2686;1948;13;216;70;14021
".. Espírito Santo";828;1098;238;1143;460;4;27;18;3816
".. Rio de Janeiro";1974;3479;813;3431;2206;331;423;22;12679
".. São Paulo";5049;7570;2923;3126;4779;86;678;121;24332
"Região Sul";5985;6220;3697;4845;1032;390;221;183;22573
".. Paraná";2736;2693;1188;2238;485;362;99;100;9901
".. Santa Catarina";1443;1402;938;645;234;26;45;29;4762
".. Rio Grande do Sul";1806;2125;1571;1962;313;2;77;54;7910
"Região Centro-Oeste";3888;3129;1594;3428;660;243;102;72;13116
".. Mato Grosso do Sul";658;514;328;510;171;40;27;13;2261
".. Mato Grosso";1177;718;302;1047;126;30;8;13;3421
".. Goiás";1716;1404;712;1526;339;161;42;26;5926
".. Distrito Federal";337;493;252;345;24;12;25;20;1508
"Total";34892;36823;16462;44367;15533;2042;2222;604;152945
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
