 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2019
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";128;220;126;235;1579;4092;2887;1706;1150;772;478;490;192;14055
".. Rondônia";11;24;11;13;97;265;255;232;159;110;57;69;11;1314
".. Acre";2;11;10;11;74;185;141;77;48;24;18;11;13;625
".. Amazonas";25;52;34;73;353;1054;622;327;194;133;80;72;11;3030
".. Roraima";36;13;6;9;73;135;116;72;50;34;22;25;-;591
".. Pará";30;94;50;94;720;1948;1394;755;503;337;207;213;142;6487
".. Amapá";9;11;6;11;127;210;103;57;43;22;18;14;-;631
".. Tocantins";15;15;9;24;135;295;256;186;153;112;76;86;15;1377
"Região Nordeste";237;328;237;541;4364;11386;8460;5827;4147;2905;2340;3160;352;44284
".. Maranhão";30;71;44;77;390;1084;959;623;390;325;242;255;24;4514
".. Piauí";5;9;10;26;168;520;497;321;242;160;119;168;16;2261
".. Ceará";27;48;36;80;618;1604;1335;951;722;509;407;460;29;6826
".. Rio Grande do Norte";22;18;5;27;303;727;496;357;248;133;97;162;-;2595
".. Paraíba";12;20;17;25;208;588;499;397;297;170;154;264;15;2666
".. Pernambuco";75;65;38;102;785;1958;1426;1053;757;547;490;722;171;8189
".. Alagoas";7;11;11;25;273;670;441;317;219;149;116;144;-;2383
".. Sergipe";12;8;9;18;183;552;374;246;165;129;104;157;-;1957
".. Bahia";47;78;67;161;1436;3683;2433;1562;1107;783;611;828;97;12893
"Região Sudeste";407;386;219;441;3600;9957;8366;6755;5611;4839;4159;6757;636;52133
".. Minas Gerais";61;100;65;134;804;2392;2279;1952;1536;1236;991;1535;28;13113
".. Espírito Santo";28;26;9;36;304;667;543;430;376;291;222;362;8;3302
".. Rio de Janeiro";144;76;50;116;1363;3297;2013;1392;1167;1096;1035;1809;411;13969
".. São Paulo";174;184;95;155;1129;3601;3531;2981;2532;2216;1911;3051;189;21749
"Região Sul";135;149;94;185;1316;3943;3231;2795;2471;1905;1602;2414;89;20329
".. Paraná";58;72;47;76;549;1770;1367;1132;925;701;620;1022;49;8388
".. Santa Catarina";24;27;19;38;264;812;668;690;572;439;320;450;6;4329
".. Rio Grande do Sul";53;50;28;71;503;1361;1196;973;974;765;662;942;34;7612
"Região Centro-Oeste";74;126;60;147;976;2722;2243;1691;1268;872;732;1014;74;11999
".. Mato Grosso do Sul";22;24;9;32;148;381;347;285;224;136;134;161;7;1910
".. Mato Grosso";21;33;15;39;232;624;538;454;334;210;128;140;16;2784
".. Goiás";27;46;27;61;479;1409;1083;750;546;428;382;540;51;5829
".. Distrito Federal";4;23;9;15;117;308;275;202;164;98;88;173;-;1476
"Total";981;1209;736;1549;11835;32100;25187;18774;14647;11293;9311;13835;1343;142800
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
