 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2016
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";100;198;152;260;1902;4417;3182;1906;1183;704;412;412;250;15078
".. Rondônia";2;16;10;31;130;338;357;244;169;115;70;67;22;1571
".. Acre";7;11;6;13;107;185;132;81;41;30;18;20;4;655
".. Amazonas";34;43;39;60;378;931;577;296;195;119;70;43;36;2821
".. Roraima";27;6;8;11;49;135;87;61;36;27;16;9;2;474
".. Pará";21;87;67;116;970;2286;1574;962;546;302;153;179;169;7432
".. Amapá";4;13;5;7;114;183;129;70;43;19;11;2;-;600
".. Tocantins";5;22;17;22;154;359;326;192;153;92;74;92;17;1525
"Região Nordeste";227;394;277;733;6391;14638;9884;6281;4302;2699;2155;2606;314;50901
".. Maranhão";32;57;53;98;610;1545;1174;703;441;281;218;208;32;5452
".. Piauí";11;27;19;34;242;661;540;346;266;171;124;133;10;2584
".. Ceará";19;63;38;90;1005;2262;1537;1122;754;465;379;374;21;8129
".. Rio Grande do Norte";10;22;7;35;453;1034;628;371;232;122;126;139;1;3180
".. Paraíba";12;20;25;53;348;780;596;447;287;206;170;211;1;3156
".. Pernambuco";71;62;43;112;1039;2495;1607;1094;836;531;477;603;144;9114
".. Alagoas";13;33;13;52;500;930;620;329;254;137;105;106;4;3096
".. Sergipe";11;16;10;35;328;766;520;312;167;106;83;128;1;2483
".. Bahia";48;94;69;224;1866;4165;2662;1557;1065;680;473;704;100;13707
"Região Sudeste";497;388;255;540;4793;10986;8994;6791;5784;4507;3897;6238;884;54554
".. Minas Gerais";70;108;90;171;1301;3165;2484;1850;1563;1102;864;1221;43;14032
".. Espírito Santo";32;25;20;32;363;742;585;427;357;256;219;368;7;3433
".. Rio de Janeiro";183;89;50;137;1619;3202;2056;1478;1228;1123;972;1906;520;14563
".. São Paulo";212;166;95;200;1510;3877;3869;3036;2636;2026;1842;2743;314;22526
"Região Sul";160;165;109;256;1919;4815;3786;2944;2471;1767;1411;1891;98;21792
".. Paraná";81;69;42;103;819;2102;1604;1193;927;639;578;801;64;9022
".. Santa Catarina";18;38;26;56;358;944;738;647;576;367;254;305;7;4334
".. Rio Grande do Sul";61;58;41;97;742;1769;1444;1104;968;761;579;785;27;8436
"Região Centro-Oeste";107;134;101;161;1354;3330;2583;1786;1374;880;704;889;133;13536
".. Mato Grosso do Sul";34;26;18;26;174;431;385;281;262;159;138;164;7;2105
".. Mato Grosso";26;34;26;39;284;743;635;459;357;191;128;130;27;3079
".. Goiás";37;54;42;68;700;1738;1211;835;601;432;353;422;86;6579
".. Distrito Federal";10;20;15;28;196;418;352;211;154;98;85;173;13;1773
"Total";1091;1279;894;1950;16359;38186;28429;19708;15114;10557;8579;12036;1679;155861
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
