 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2016
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4471;263;2001;5412;2759;172;15078
".. Rondônia";502;6;244;586;222;11;1571
".. Acre";134;-;154;231;134;2;655
".. Amazonas";920;133;404;945;416;3;2821
".. Roraima";113;8;108;78;155;12;474
".. Pará";2105;104;809;2879;1399;136;7432
".. Amapá";258;4;63;128;147;-;600
".. Tocantins";439;8;219;565;286;8;1525
"Região Nordeste";15635;551;6268;20352;7907;188;50901
".. Maranhão";1831;70;722;1990;802;37;5452
".. Piauí";835;4;420;967;337;21;2584
".. Ceará";2224;95;1043;3057;1668;42;8129
".. Rio Grande do Norte";844;25;478;1407;410;16;3180
".. Paraíba";1049;5;362;1247;489;4;3156
".. Pernambuco";2953;96;1075;4019;961;10;9114
".. Alagoas";893;14;293;1637;259;-;3096
".. Sergipe";747;9;326;1269;131;1;2483
".. Bahia";4259;233;1549;4759;2850;57;13707
"Região Sudeste";24612;2169;6561;13698;7295;219;54554
".. Minas Gerais";5276;630;1934;4195;1904;93;14032
".. Espírito Santo";1489;87;435;1038;346;38;3433
".. Rio de Janeiro";7052;768;1099;2824;2810;10;14563
".. São Paulo";10795;684;3093;5641;2235;78;22526
"Região Sul";7597;362;3803;6956;3041;33;21792
".. Paraná";3294;242;1353;2876;1246;11;9022
".. Santa Catarina";1460;24;807;1337;699;7;4334
".. Rio Grande do Sul";2843;96;1643;2743;1096;15;8436
"Região Centro-Oeste";4828;289;1824;4483;2083;29;13536
".. Mato Grosso do Sul";668;40;334;620;441;2;2105
".. Mato Grosso";1033;69;425;1014;528;10;3079
".. Goiás";2313;144;878;2256;971;17;6579
".. Distrito Federal";814;36;187;593;143;-;1773
"Total";57143;3634;20457;50901;23085;641;155861
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
