 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2016
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";13172;1888;18;15078
".. Rondônia";1347;224;-;1571
".. Acre";569;86;-;655
".. Amazonas";2464;356;1;2821
".. Roraima";389;85;-;474
".. Pará";6550;867;15;7432
".. Amapá";545;55;-;600
".. Tocantins";1308;215;2;1525
"Região Nordeste";43779;7092;30;50901
".. Maranhão";4664;786;2;5452
".. Piauí";2170;410;4;2584
".. Ceará";7023;1106;-;8129
".. Rio Grande do Norte";2823;357;-;3180
".. Paraíba";2664;491;1;3156
".. Pernambuco";7640;1464;10;9114
".. Alagoas";2727;368;1;3096
".. Sergipe";2199;283;1;2483
".. Bahia";11869;1827;11;13707
"Região Sudeste";42659;11802;93;54554
".. Minas Gerais";11308;2721;3;14032
".. Espírito Santo";2751;682;-;3433
".. Rio de Janeiro";11219;3274;70;14563
".. São Paulo";17381;5125;20;22526
"Região Sul";17396;4385;11;21792
".. Paraná";7276;1740;6;9022
".. Santa Catarina";3401;933;-;4334
".. Rio Grande do Sul";6719;1712;5;8436
"Região Centro-Oeste";11156;2365;15;13536
".. Mato Grosso do Sul";1660;445;-;2105
".. Mato Grosso";2596;480;3;3079
".. Goiás";5477;1090;12;6579
".. Distrito Federal";1423;350;-;1773
"Total";128162;27532;167;155861
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
