 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2023
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";145;209;130;197;1182;3952;2995;2095;1351;843;575;541;108;14323
".. Rondônia";10;13;9;15;96;339;337;255;173;124;80;76;10;1537
".. Acre";7;14;4;12;53;143;122;80;48;29;23;14;8;557
".. Amazonas";30;47;29;50;276;975;727;421;238;147;87;80;5;3112
".. Roraima";19;15;8;12;35;145;120;98;61;40;31;14;-;598
".. Pará";55;94;58;77;487;1674;1295;915;607;349;250;237;80;6178
".. Amapá";7;17;4;13;122;325;131;86;49;39;25;15;-;833
".. Tocantins";17;9;18;18;113;351;263;240;175;115;79;105;5;1508
"Região Nordeste";259;346;212;451;3660;12568;9010;6811;4820;3502;2799;3705;337;48480
".. Maranhão";28;63;44;78;414;1309;1034;789;490;358;262;237;49;5155
".. Piauí";6;14;14;37;152;598;556;433;313;223;156;220;21;2743
".. Ceará";32;42;24;72;559;2087;1607;1190;892;656;535;609;1;8306
".. Rio Grande do Norte";6;15;9;21;158;530;447;352;270;161;114;164;6;2253
".. Paraíba";23;25;12;23;198;691;534;494;349;232;180;233;9;3003
".. Pernambuco";86;73;31;77;598;2111;1572;1140;842;675;554;790;151;8700
".. Alagoas";17;19;14;18;208;802;477;367;262;187;156;163;1;2691
".. Sergipe";14;7;8;12;108;474;362;234;167;149;127;198;-;1860
".. Bahia";47;88;56;113;1265;3966;2421;1812;1235;861;715;1091;99;13769
"Região Sudeste";496;440;224;378;2619;9291;8465;7621;6293;5830;5424;8404;447;55932
".. Minas Gerais";78;100;70;110;663;2451;2371;2136;1744;1560;1364;1985;39;14671
".. Espírito Santo";43;39;11;29;284;696;571;523;436;407;315;570;35;3959
".. Rio de Janeiro";153;125;46;83;741;2591;1846;1563;1204;1203;1187;1881;229;12852
".. São Paulo";222;176;97;156;931;3553;3677;3399;2909;2660;2558;3968;144;24450
"Região Sul";165;146;79;163;1002;3888;3574;3284;2792;2301;1971;2903;73;22341
".. Paraná";78;53;37;76;432;1769;1528;1403;1099;886;771;1213;24;9369
".. Santa Catarina";39;42;24;32;214;814;775;742;672;519;444;607;20;4944
".. Rio Grande do Sul";48;51;18;55;356;1305;1271;1139;1021;896;756;1083;29;8028
"Região Centro-Oeste";96;139;88;141;724;2768;2331;2064;1519;1160;904;1118;71;13123
".. Mato Grosso do Sul";34;22;24;28;141;481;372;362;265;187;149;163;4;2232
".. Mato Grosso";24;50;30;47;253;816;649;568;419;281;195;216;11;3559
".. Goiás";27;53;28;46;275;1210;1042;885;666;541;451;550;50;5824
".. Distrito Federal";11;14;6;20;55;261;268;249;169;151;109;189;6;1508
"Total";1161;1280;733;1330;9187;32467;26375;21875;16775;13636;11673;16671;1036;154199
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
