 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2026
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";3590;727;7;4324
".. Rondônia";382;80;-;462
".. Acre";143;25;2;170
".. Amazonas";647;156;2;805
".. Roraima";133;36;-;169
".. Pará";1696;308;2;2006
".. Amapá";179;40;-;219
".. Tocantins";410;82;1;493
"Região Nordeste";12875;3143;7;16025
".. Maranhão";1615;310;2;1927
".. Piauí";750;200;-;950
".. Ceará";2167;541;-;2708
".. Rio Grande do Norte";629;160;-;789
".. Paraíba";882;205;-;1087
".. Pernambuco";2092;632;3;2727
".. Alagoas";693;178;-;871
".. Sergipe";537;142;-;679
".. Bahia";3510;775;2;4287
"Região Sudeste";13622;5026;19;18667
".. Minas Gerais";3317;1188;-;4505
".. Espírito Santo";1000;335;3;1338
".. Rio de Janeiro";3070;1194;11;4275
".. São Paulo";6235;2309;5;8549
"Região Sul";5561;1951;4;7516
".. Paraná";2461;827;1;3289
".. Santa Catarina";1361;475;2;1838
".. Rio Grande do Sul";1739;649;1;2389
"Região Centro-Oeste";2977;984;4;3965
".. Mato Grosso do Sul";572;156;1;729
".. Mato Grosso";705;188;-;893
".. Goiás";1345;488;2;1835
".. Distrito Federal";355;152;1;508
"Total";38625;11831;41;50497
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
