 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Faixa Etária
Período:2023
"Região/Unidade da Federação";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"Total"
"Região Norte";231;416;1076;1696;2721;6140
".. Rondônia";22;26;85;145;271;549
".. Acre";16;20;46;66;135;283
".. Amazonas";47;113;267;377;613;1417
".. Roraima";17;25;56;81;114;293
".. Pará";101;180;474;812;1255;2822
".. Amapá";7;20;56;59;102;244
".. Tocantins";21;32;92;156;231;532
"Região Nordeste";518;919;3079;5162;9565;19243
".. Maranhão";84;116;414;600;1020;2234
".. Piauí";41;48;178;309;535;1111
".. Ceará";66;146;501;806;1333;2852
".. Rio Grande do Norte";23;51;150;270;498;992
".. Paraíba";36;53;220;357;687;1353
".. Pernambuco";73;139;473;892;1699;3276
".. Alagoas";31;64;183;314;690;1282
".. Sergipe";21;28;111;201;342;703
".. Bahia";143;274;849;1413;2761;5440
"Região Sudeste";524;1043;4069;7334;14917;27887
".. Minas Gerais";118;247;936;1772;3417;6490
".. Espírito Santo";29;65;194;349;711;1348
".. Rio de Janeiro";101;235;947;1620;3446;6349
".. São Paulo";276;496;1992;3593;7343;13700
"Região Sul";185;377;1326;2393;4717;8998
".. Paraná";66;164;545;916;1830;3521
".. Santa Catarina";45;83;319;557;1121;2125
".. Rio Grande do Sul";74;130;462;920;1766;3352
"Região Centro-Oeste";142;252;883;1422;2774;5473
".. Mato Grosso do Sul";27;47;166;273;514;1027
".. Mato Grosso";44;84;248;344;631;1351
".. Goiás";48;98;368;610;1225;2349
".. Distrito Federal";23;23;101;195;404;746
"Total";1600;3007;10433;18007;34694;67741
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
