 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Capítulo CID-10
Período:2024
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";587;1552;77;266;37;191;2;-;850;380;281;34;119;168;192;-;38;267;1264;6305
".. Rondônia";43;115;2;21;5;17;-;-;71;28;21;1;4;10;7;-;5;26;156;532
".. Acre";16;73;5;7;1;10;-;-;38;22;17;-;5;11;8;-;2;16;63;294
".. Amazonas";174;407;21;82;8;44;1;-;173;71;49;5;32;32;43;-;11;56;248;1457
".. Roraima";14;90;2;9;1;2;-;-;35;14;14;4;8;5;17;-;1;7;68;291
".. Pará";274;672;33;114;12;98;1;-;411;190;135;20;53;82;90;-;12;145;553;2895
".. Amapá";27;73;3;11;2;9;-;-;38;23;15;2;9;11;11;-;3;8;39;284
".. Tocantins";39;122;11;22;8;11;-;-;84;32;30;2;8;17;16;-;4;9;137;552
"Região Nordeste";1282;4822;253;1086;223;585;-;7;3337;1147;1005;131;244;515;454;3;160;831;3608;19693
".. Maranhão";160;534;31;132;20;69;-;1;368;151;120;16;31;74;71;1;18;127;423;2347
".. Piauí";78;299;19;62;17;47;-;-;176;52;68;6;18;30;42;-;8;36;218;1176
".. Ceará";150;771;24;104;29;86;-;2;451;162;150;18;49;70;62;1;22;70;647;2868
".. Rio Grande do Norte";65;255;9;47;1;26;-;-;178;67;42;3;11;27;37;-;11;26;164;969
".. Paraíba";83;288;11;86;8;41;-;-;239;95;66;11;13;33;30;1;18;43;241;1307
".. Pernambuco";247;873;45;168;37;97;-;-;643;166;193;28;47;87;59;-;34;80;620;3424
".. Alagoas";89;294;7;91;10;31;-;1;229;96;58;11;17;36;26;-;7;57;215;1275
".. Sergipe";43;207;3;39;14;22;-;1;114;48;28;5;7;26;18;-;4;33;108;720
".. Bahia";367;1301;104;357;87;166;-;2;939;310;280;33;51;132;109;-;38;359;972;5607
"Região Sudeste";2178;7324;342;1484;357;974;3;13;5236;2031;1436;170;372;831;563;6;222;1685;4417;29644
".. Minas Gerais";529;1501;95;378;150;269;2;3;947;413;377;48;80;171;140;2;65;497;1211;6878
".. Espírito Santo";83;354;13;109;17;49;-;4;218;62;71;6;15;40;30;-;14;3;325;1413
".. Rio de Janeiro";520;1637;83;389;70;176;-;2;1193;391;252;19;74;210;139;1;41;440;899;6536
".. São Paulo";1046;3832;151;608;120;480;1;4;2878;1165;736;97;203;410;254;3;102;745;1982;14817
"Região Sul";799;2747;68;466;179;383;-;1;1283;548;460;48;119;220;216;8;101;267;1857;9770
".. Paraná";281;1025;29;184;90;166;-;1;539;238;234;20;60;105;98;1;42;96;795;4004
".. Santa Catarina";161;683;14;93;24;94;-;-;300;112;93;5;25;42;54;-;22;52;433;2207
".. Rio Grande do Sul";357;1039;25;189;65;123;-;-;444;198;133;23;34;73;64;7;37;119;629;3559
"Região Centro-Oeste";465;1398;49;292;49;180;1;5;927;312;287;38;94;182;158;2;47;143;1196;5825
".. Mato Grosso do Sul";75;224;7;59;9;33;-;-;197;55;47;8;19;32;20;-;7;34;244;1070
".. Mato Grosso";90;304;13;64;11;27;-;2;190;72;62;7;21;28;34;1;3;44;326;1299
".. Goiás";209;601;17;131;26;95;1;2;419;148;135;16;35;95;86;-;29;42;489;2576
".. Distrito Federal";91;269;12;38;3;25;-;1;121;37;43;7;19;27;18;1;8;23;137;880
"Total";5311;17843;789;3594;845;2313;6;26;11633;4418;3469;421;948;1916;1583;19;568;3193;12342;71237
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
