 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Tipo causa obstétr
Período:2020
"Região/Unidade da Federação";"Morte materna obstétrica direta";"Morte materna obstétrica indireta";"Morte materna obstétrica não especificada";"Total"
"Região Norte";148;393;20;561
".. Rondônia";8;22;3;33
".. Acre";5;3;-;8
".. Amazonas";40;85;5;130
".. Roraima";12;16;-;28
".. Pará";65;221;11;297
".. Amapá";10;20;-;30
".. Tocantins";8;26;1;35
"Região Nordeste";382;813;19;1214
".. Maranhão";77;118;-;195
".. Piauí";27;48;1;76
".. Ceará";59;131;2;192
".. Rio Grande do Norte";15;43;1;59
".. Paraíba";18;64;3;85
".. Pernambuco";61;130;3;194
".. Alagoas";21;56;-;77
".. Sergipe";18;30;3;51
".. Bahia";86;193;6;285
"Região Sudeste";340;1113;28;1481
".. Minas Gerais";84;158;3;245
".. Espírito Santo";18;63;-;81
".. Rio de Janeiro";83;415;5;503
".. São Paulo";155;477;20;652
"Região Sul";84;477;10;571
".. Paraná";37;122;6;165
".. Santa Catarina";19;96;2;117
".. Rio Grande do Sul";28;259;2;289
"Região Centro-Oeste";90;190;4;284
".. Mato Grosso do Sul";8;33;1;42
".. Mato Grosso";28;53;-;81
".. Goiás";47;78;3;128
".. Distrito Federal";7;26;-;33
"Total";1044;2986;81;4111
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
