 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Tipo causa obstétr
Período:2021
"Região/Unidade da Federação";"Morte materna obstétrica direta";"Morte materna obstétrica indireta";"Morte materna obstétrica não especificada";"Total"
"Região Norte";160;563;5;728
".. Rondônia";4;58;-;62
".. Acre";6;15;-;21
".. Amazonas";44;147;1;192
".. Roraima";9;35;-;44
".. Pará";81;242;4;327
".. Amapá";6;20;-;26
".. Tocantins";10;46;-;56
"Região Nordeste";353;1017;15;1385
".. Maranhão";71;156;-;227
".. Piauí";27;51;2;80
".. Ceará";55;141;-;196
".. Rio Grande do Norte";15;75;-;90
".. Paraíba";29;66;3;98
".. Pernambuco";44;164;1;209
".. Alagoas";26;57;2;85
".. Sergipe";8;35;1;44
".. Bahia";78;272;6;356
"Região Sudeste";323;1531;30;1884
".. Minas Gerais";74;270;7;351
".. Espírito Santo";16;76;2;94
".. Rio de Janeiro";90;571;8;669
".. São Paulo";143;614;13;770
"Região Sul";105;755;6;866
".. Paraná";41;255;5;301
".. Santa Catarina";28;155;1;184
".. Rio Grande do Sul";36;345;-;381
"Região Centro-Oeste";86;400;5;491
".. Mato Grosso do Sul";18;81;1;100
".. Mato Grosso";21;116;-;137
".. Goiás";39;164;2;205
".. Distrito Federal";8;39;2;49
"Total";1027;4266;61;5354
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
