 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Tipo causa obstétr
Período:2026
"Região/Unidade da Federação";"Morte materna obstétrica direta";"Morte materna obstétrica indireta";"Morte materna obstétrica não especificada";"Total"
"Região Norte";60;94;3;157
".. Rondônia";5;6;-;11
".. Acre";2;2;-;4
".. Amazonas";19;23;-;42
".. Roraima";1;3;-;4
".. Pará";29;55;1;85
".. Amapá";3;-;1;4
".. Tocantins";1;5;1;7
"Região Nordeste";81;189;7;277
".. Maranhão";10;28;-;38
".. Piauí";8;6;1;15
".. Ceará";16;26;-;42
".. Rio Grande do Norte";3;10;-;13
".. Paraíba";6;12;4;22
".. Pernambuco";11;39;2;52
".. Alagoas";6;15;-;21
".. Sergipe";1;9;-;10
".. Bahia";20;44;-;64
"Região Sudeste";105;239;7;351
".. Minas Gerais";24;37;-;61
".. Espírito Santo";7;7;-;14
".. Rio de Janeiro";29;102;3;134
".. São Paulo";45;93;4;142
"Região Sul";34;110;8;152
".. Paraná";15;26;7;48
".. Santa Catarina";9;32;-;41
".. Rio Grande do Sul";10;52;1;63
"Região Centro-Oeste";23;47;2;72
".. Mato Grosso do Sul";4;17;-;21
".. Mato Grosso";11;10;-;21
".. Goiás";6;19;1;26
".. Distrito Federal";2;1;1;4
"Total";303;679;27;1009
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
