 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Faixa Etária
Período:2025
"Região/Unidade da Federação";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"Total"
"Região Norte";234;403;1130;1734;2989;6490
".. Rondônia";15;30;87;149;300;581
".. Acre";13;15;53;77;136;294
".. Amazonas";55;94;269;365;649;1432
".. Roraima";19;32;56;76;119;302
".. Pará";115;188;501;836;1389;3029
".. Amapá";4;11;69;80;135;299
".. Tocantins";13;33;95;151;261;553
"Região Nordeste";465;927;2918;5194;9972;19476
".. Maranhão";74;153;358;619;1132;2336
".. Piauí";36;55;170;319;590;1170
".. Ceará";56;156;485;766;1400;2863
".. Rio Grande do Norte";27;45;140;280;529;1021
".. Paraíba";22;59;205;372;700;1358
".. Pernambuco";76;124;493;885;1808;3386
".. Alagoas";28;62;179;334;620;1223
".. Sergipe";23;26;106;218;374;747
".. Bahia";123;247;782;1401;2819;5372
"Região Sudeste";525;1045;3987;7551;15443;28551
".. Minas Gerais";121;231;917;1704;3535;6508
".. Espírito Santo";25;57;162;354;736;1334
".. Rio de Janeiro";107;257;895;1672;3571;6502
".. São Paulo";272;500;2013;3821;7601;14207
"Região Sul";195;359;1312;2431;4822;9119
".. Paraná";76;156;561;947;1833;3573
".. Santa Catarina";52;80;298;580;1154;2164
".. Rio Grande do Sul";67;123;453;904;1835;3382
"Região Centro-Oeste";141;247;838;1438;2838;5502
".. Mato Grosso do Sul";30;45;158;291;518;1042
".. Mato Grosso";39;66;218;366;678;1367
".. Goiás";56;111;361;615;1218;2361
".. Distrito Federal";16;25;101;166;424;732
"Total";1560;2981;10185;18348;36064;69138
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
